REPDTE,CERT,NAME,STALP,DEPDOM,ASSET,LNLSNET,CHBAL,EQ
20130331,10450,VALLEY BANK,IL,439072,551858,353727,8954,19009.0
20130331,10458,FARMERS STATE BANK&TRUST CO,IL,76315,84466,54651,2412,6815.0
20130331,10460,TOWN&COUNTRY BANK OF QUINCY,IL,95675,108227,84144,13833,12327.0
20130331,10463,MIDDLETOWN STATE BANK,IL,23132,25637,18744,1893,2480.0
20130331,10464,FEDERATED BANK,IL,68304,77843,28756,21173,9416.0
20130331,10467,GIFFORD STATE BANK,IL,127077,138960,81999,5885,11345.0
20130331,10469,FARMERS&MERCHANTS BK HUTSONV,IL,36347,43719,16047,19171,6545.0
20130331,10471,CAMP GROVE STATE BANK,IL,17065,20152,5733,5501,2962.0
20130331,10473,IPAVA STATE BANK,IL,92264,104709,69254,13820,9468.0
20130331,10474,CITIZENS STATE BANK,IL,190588,222714,134665,6506,24798.0
20130331,1047,BANK&TRUST CO,IL,237033,271942,172179,5633,26584.0
20130331,10485,SCOTT COUNTY STATE BANK,IN,122668,140584,79881,2816,15651.0
20130331,10489,ELGIN STATE BANK,IA,22223,24009,6902,5206,1767.0
20130331,10491,FREEDOM SECURITY BANK,IA,64698,74492,39060,1326,9395.0
20130331,10492,FARMERS&MERCHANTS SB,IA,86089,104689,61858,3063,13917.0
20130331,10494,MOUNT VERNON BANK&TRUST CO,IA,79830,97071,59208,1207,14001.0
20130331,10497,IOWA STATE BANK,IA,103625,115667,72690,17324,11735.0
20130331,1049,FIRST NB OF STEELEVILLE,IL,167395,210741,82712,5868,25648.0
20130331,10500,FARMERS SAVINGS BANK,IA,88555,103316,75142,12376,10073.0
20130331,10502,BANKWEST OF KANSAS,KS,87384,103090,47642,23867,12400.0
20130331,10503,FIRST STATE BANK,KS,56176,67394,21927,3808,10115.0
20130331,10505,KANSAS STATE BANK,KS,92184,105533,23029,14115,10661.0
20130331,10508,STATE BANK OF KANSAS,KS,56121,66837,44637,14128,9053.0
20130331,10514,FARMERS DEP BK MIDDLEBURG,KY,38791,48184,32134,8768,5720.0
20130331,1051,CITIZENS BANK,KY,22287,27031,11773,6906,4691.0
20130331,10520,CITIZENS BANK,KY,101094,123323,78636,5552,12153.0
20130331,10523,BANK OF COMMERCE&TRUST CO,LA,291016,347504,86913,3800,36884.0
20130331,10526,VERNON BANK,LA,68389,78735,47569,5096,7185.0
20130331,10528,EXCHANGE B&T NATCHITOCHES LA,LA,100805,117280,45966,4300,16166.0
20130331,10531,CITIZENS PROGRESSIVE BANK,LA,78070,90681,65630,1237,12316.0
20130331,10532,CATAHOULA LASALLE BANK,LA,101175,113036,41069,40780,11751.0
20130331,10533,WINNSBORO STATE B&T CO,LA,117127,133999,61900,22352,13986.0
20130331,10534,CITY SAVINGS BANK&TRUST CO,LA,218132,247265,173261,26285,28072.0
20130331,10559,FIRST STB OF CLEARBROOK,MN,36108,40078,17493,7066,3644.0
20130331,10561,FARMERS STB OF HARTLAND,MN,84709,95608,70389,7913,9255.0
20130331,10566,FARMERS STB OF MADELIA INC,MN,59218,68059,32271,21743,6554.0
20130331,10567,UNITED MINNESOTA BANK,MN,22665,24854,17899,4771,2142.0
20130331,10568,COMMUNITY DEVELOPMENT BK FSB,MN,67662,79245,41826,22546,7525.0
20130331,10571,FARMERS&MERCHANTS STB ALPHA,MN,29943,33499,20901,10943,3474.0
20130331,10576,FIRST SOUTHEAST BANK,MN,73674,82201,66899,1322,7619.0
20130331,1057,CENTRAL BANK,MO,217096,255620,176008,4363,29009.0
20130331,10581,BEACON BANK,MN,267701,313237,178804,8527,31920.0
20130331,10582,CITIZENS STB OF TYLER INC,MN,18598,20352,4745,6813,1698.0
20130331,10588,FIRST STATE BANK,MS,93633,104913,55283,15344,11056.0
20130331,1058,MIDWEST BANKCENTRE,MO,915499,1133429,713799,14037,121231.0
20130331,10594,BANK OF FRANKLIN,MS,106214,117536,65218,20198,10670.0
20130331,10595,COMMUNITY FIRST BANK,MO,136601,158508,111037,4644,14173.0
20130331,10597,BANK OF ORRICK,MO,32318,35633,19132,6561,3292.0
20130331,105,BANK OF CAVE CITY,AR,78732,96141,57781,3433,10361.0
20130331,10606,BANK OF URBANA,MO,143885,168867,76075,21553,24140.0
20130331,10608,UNICO BANK,MO,208508,239294,119270,4421,23659.0
20130331,1060,WOOD&HUSTON BANK,MO,475391,538747,373133,42010,57746.0
20130331,10611,HORIZON STATE BANK,MO,18779,20479,9598,9412,1421.0
20130331,10618,BTC BANK,MO,308152,350534,204459,16011,40465.0
20130331,10619,HAWTHORN BANK,MO,1001154,1166805,808281,43862,123626.0
20130331,10621,FIRST COMMERCIAL BANK,MO,172937,209578,121824,19484,21328.0
20130331,10623,STATE BANK OF MISSOURI,MO,75501,83807,37989,11798,7175.0
20130331,10626,BANK OF NEW CAMBRIA,MO,30910,34387,16116,6193,3342.0
20130331,10628,PREFERRED BANK,MO,73177,81815,31975,12390,7568.0
20130331,10629,BANK STAR OF THE BOOTHEEL,MO,89014,97887,69257,7161,8302.0
20130331,10634,PINNACLE BANK,NE,3191951,3732908,2382547,75775,383052.0
20130331,10635,BANK OF STEINAUER,NE,10570,11552,6490,3672,975.0
20130331,10637,FIRST CENTRAL BANK,NE,74248,85422,56907,3436,8207.0
20130331,10639,GOTHENBURG STATE BANK,NE,102508,119628,78734,3416,15800.0
20130331,10641,TRI VALLEY BANK,NE,33728,36664,30511,3544,2859.0
20130331,10643,SECURITY STATE BANK,NE,110108,125228,105228,3064,10685.0
20130331,10644,STATE BANK OF ODELL,NE,24588,26980,13430,4920,2375.0
20130331,10647,AMERICAN EXCHANGE BANK,NE,38546,44218,22509,1005,4910.0
20130331,10650,HOME STATE BANK,NE,60621,80069,55481,5733,9615.0
20130331,10652,FARMERS STATE BANK,NE,13975,19131,10611,5208,4226.0
20130331,10653,MURRAY STATE BANK,NE,38665,46884,28505,8325,4704.0
20130331,10663,ANDOVER BANK,OH,279099,328323,145262,21736,35697.0
20130331,10667,CITIZENS SECURITY B&T CO,OK,624208,683475,466645,45025,53841.0
20130331,10672,EXCHANGE BANK,OK,80759,91707,46764,10274,8707.0
20130331,10674,BANK OF HYDRO,OK,106022,122994,109089,1692,9817.0
20130331,10677,JONESTOWN B&T JONESTOWN PA,PA,348563,396842,329233,10409,40195.0
20130331,10678,MUNCY BANK&TRUST CO,PA,291097,336933,241231,33047,32653.0
20130331,1067,BREMEN BANK&TRUST CO,MO,170708,216467,117971,11610,21606.0
20130331,10685,MIFFLINBURG BANK&TRUST CO,PA,259566,333381,214132,22530,35749.0
20130331,10688,SCOTTDALE BANK&TRUST CO,PA,211618,256208,66512,12694,43478.0
20130331,1068,CASS COMMERCIAL BANK,MO,551485,629928,508141,89591,67997.0
20130331,10693,FIRST BANK OF TENNESSEE,TN,210165,238641,182647,21003,24866.0
20130331,10704,FIRST STATE BANK,TX,33880,37138,18350,14538,3202.0
20130331,10709,FIRST STATE BANK,TX,136360,155434,64149,28228,17486.0
20130331,10712,FARMERS STATE BANK,TX,24739,29424,12538,5863,4443.0
20130331,10716,ENLOE STATE BANK,TX,21596,24619,18798,4507,2955.0
20130331,10719,PEOPLES STB OF HALLETTSVILLE,TX,204837,238308,51876,69323,27869.0
20130331,1071,JEFFERSON BANK&TRUST CO,MO,385111,480738,330245,47255,59335.0
20130331,10730,PEOPLES BANK,VA,81431,89368,66225,3137,7835.0
20130331,10734,PIONEER BANK,WI,107333,122142,81772,9683,14244.0
20130331,1073,LINDELL BANK&TRUST CO,MO,364325,486294,199663,9281,71488.0
20130331,10741,INDEPENDENCE STATE BANK,WI,59989,66589,38751,6000,5327.0
20130331,10781,SCOTT VALLEY BANK,CA,469483,534807,280335,63667,58183.0
20130331,10788,ILLINI STATE BANK,IL,73595,109928,35140,2688,17277.0
20130331,10791,COMMUNITY BANK,IL,122976,162235,82374,5203,21825.0
20130331,10799,FIRST STB OF CAMPBELL HILL,IL,96037,107379,56064,10471,9767.0
20130331,107,MERCHANTS&PLANTERS BANK,AR,46159,51398,9457,3756,4992.0
20130331,10802,FARMERS STB OF DANFORTH,IL,62931,69431,21337,2256,6154.0
20130331,10803,DEWEY BANK,IL,25519,28899,8037,4390,2968.0
20130331,10804,DU QUOIN STATE BANK,IL,80024,103630,37495,2553,11277.0
20130331,10809,FIRST STATE BANK OF VAN ORIN,IL,41790,45880,9771,13678,3730.0
20130331,1080,SOUTHERN COMMERCIAL BANK,MO,448711,522048,275295,53934,55814.0
20130331,10810,ELKVILLE STATE BANK,IL,19804,24113,2436,3793,4161.0
20130331,10816,GRAND RIVERS COMMUNITY BANK,IL,22022,24345,17867,330,2281.0
20130331,10820,STATE BANK OF INDUSTRY,IL,39431,45529,27706,3353,5784.0
20130331,10821,CLAY COUNTY STATE BANK,IL,67055,79920,31542,7597,10273.0
20130331,10825,STATE BANK OF SPEER,IL,159383,181551,74447,28891,13494.0
20130331,10828,BANK OF CARBONDALE,IL,186528,213227,127613,14088,23730.0
20130331,10829,PETEFISH SKILES&CO,IL,153954,183171,96013,11420,23439.0
20130331,10831,FIRST T&SB OF WATSEKA IL,IL,206599,235187,99072,47814,28021.0
20130331,10840,CAMPUS STATE BANK,IL,20557,22573,12190,3654,1994.0
20130331,10843,CITIZENS BANK OF CHATSWORTH,IL,49491,52866,21317,22354,3265.0
20130331,10844,BUENA VISTA NATIONAL BANK,IL,176371,206412,92918,12162,23394.0
20130331,10845,CLAY CITY BANKING CO,IL,99388,110878,70192,5062,10198.0
20130331,10849,TOMPKINS STATE BANK,IL,164622,198773,100721,3287,21014.0
20130331,10853,WEST CENTRAL BANK,IL,143716,164437,106426,4907,16275.0
20130331,10855,STATE BANK OF BEMENT,IL,70889,82416,41401,18592,11347.0
20130331,10856,BRIMFIELD BANK,IL,43090,49292,28858,6163,5050.0
20130331,10857,BUFFALO PRAIRIE STATE BANK,IL,60703,70905,15539,2221,9912.0
20130331,10858,ANDERSON STATE BANK,IL,76976,88204,28016,13771,11020.0
20130331,10860,MURPHY-WALL STATE B&T CO,IL,87403,101757,47623,5758,12531.0
20130331,10868,PREMIER BANK OF JACKSONVILLE,IL,195151,218410,114239,6259,19570.0
20130331,1086,BANK OF VERSAILLES,MO,195235,214832,162686,14087,19282.0
20130331,10871,FIRST STB OF BEECHER CITY,IL,61427,70152,47548,13422,8623.0
20130331,10872,CHESTERFIELD STATE BANK,IL,16222,17842,11950,4075,1611.0
20130331,10874,LAURA STATE BANK,IL,15219,17061,4637,8619,1832.0
