CERT,REPDTE,BKCLASS,CALLFORM,DEPUNA,DEPUNINS,ACTEVT
10872,20100331,NM,41,0,79,
10874,20100331,NM,41,0,560,
10878,20100331,NM,41,0,3025,
10879,20100331,NM,41,0,8077,
10883,20100331,NM,41,0,5423,
10885,20100331,NM,41,0,939,
10886,20100331,NM,41,0,10025,
10887,20100331,NM,41,0,13580,
10888,20100331,NM,41,0,4037,
10896,20100331,NM,41,0,558,
10898,20100331,NM,41,0,263,
10903,20100331,NM,41,0,27536,
10904,20100331,SM,41,0,80724,
10906,20100331,NM,41,0,3191,
10907,20100331,NM,41,0,20027,
10908,20100331,NM,41,0,4126,811
1090,20100331,NM,41,0,19703,
10916,20100331,NM,41,0,20926,
10918,20100331,NM,41,0,25321,
10919,20100331,NM,41,0,4742,
1091,20100331,SM,41,0,1305,
10920,20100331,SM,41,0,33872,
10925,20100331,NM,41,0,11441,
10928,20100331,NM,41,0,8253,
1092,20100331,NM,41,0,6175,
10936,20100331,NM,41,0,26770,
10956,20100331,NM,41,0,15217,810
10957,20100331,NM,41,0,2712,
10958,20100331,NM,41,0,66926,
1095,20100331,SM,41,0,60870,
10960,20100331,NM,41,0,2410,
10962,20100331,SM,41,0,45294,
10965,20100331,NM,41,0,9414,
10967,20100331,N,41,0,6120,
10969,20100331,NM,41,0,278,
10971,20100331,NM,41,0,3886,
10973,20100331,NM,41,0,133776,810
10976,20100331,N,41,0,27325,
10980,20100331,NM,41,0,4577,
10982,20100331,NM,41,0,725,
10984,20100331,SM,41,0,1876,
10986,20100331,NM,41,0,488,
10987,20100331,NM,41,0,3653,
10988,20100331,N,41,124387,124387,811
10989,20100331,NM,41,0,9235,
1098,20100331,SM,41,0,2520,
10991,20100331,NM,41,0,2202,
10993,20100331,NM,41,0,8134,
10998,20100331,NM,41,0,96971,
1099,20100331,SM,41,0,2287,
109,20100331,NM,41,0,3693,
11000,20100331,NM,41,0,68973,
11002,20100331,NM,41,0,7644,
11003,20100331,NM,41,0,5519,
11006,20100331,NM,41,0,1013,
1100,20100331,SM,41,0,12734,
11013,20100331,NM,41,0,7998,
11023,20100331,NM,41,0,697,
11035,20100331,SM,41,630639,630639,
1105,20100331,SM,41,2203516,2203516,810
11063,20100331,NM,41,3987144,3987144,811
11085,20100331,NM,41,0,9699,810
110,20100331,NM,41,151678,151678,811
11106,20100331,SM,41,308052,308052,
11112,20100331,NM,41,0,97741,
11113,20100331,NM,41,0,35380,
11116,20100331,NM,41,0,25143,
11124,20100331,NM,41,491911,491911,810
11133,20100331,NM,41,0,4985,
11136,20100331,NM,41,0,281,
11140,20100331,NM,41,0,2635,
11141,20100331,NM,41,0,3053,
11142,20100331,NM,41,0,2230,
11144,20100331,NM,41,0,508,
1114,20100331,SM,41,0,1382,
11151,20100331,NM,41,203785,203785,
11159,20100331,NM,41,0,46121,
1116,20100331,SM,41,0,6079,
11175,20100331,NM,41,0,234,
11178,20100331,SM,41,0,24314,
1117,20100331,NM,41,0,42127,
11181,20100331,NM,41,0,8649,
1118,20100331,SM,41,0,3818,
11200,20100331,SM,41,0,16166,
11207,20100331,NM,41,0,4210,
11225,20100331,NM,41,0,10863,
11228,20100331,NM,41,0,16132,
1122,20100331,NM,41,0,21304,
11232,20100331,NM,41,0,3956,
11235,20100331,NM,41,0,2929,
11236,20100331,NM,41,0,69102,
1123,20100331,SM,41,0,6075,
11241,20100331,SM,41,694374,694374,820
11242,20100331,NM,41,0,33612,
11243,20100331,NM,41,0,8767,
11244,20100331,NM,41,0,10913,
11252,20100331,N,41,0,8913,
11254,20100331,NM,41,0,1075,
11256,20100331,NM,41,0,12700,
11259,20100331,SM,41,0,5621,
1125,20100331,SM,41,0,16145,
11261,20100331,NM,41,0,999,
11264,20100331,NM,41,0,3634,
11286,20100331,NM,41,0,52072,
11295,20100331,NM,41,0,7451,
11297,20100331,NM,41,0,1522,
11299,20100331,NM,41,0,8217,
11300,20100331,NM,41,0,104,
11301,20100331,NM,41,0,7671,810
11302,20100331,SM,41,0,438,
11306,20100331,NM,41,0,43607,
11307,20100331,NM,41,0,24907,
11310,20100331,NM,41,0,28558,
11311,20100331,NM,41,0,693,
11317,20100331,NM,41,0,577,
11319,20100331,NM,41,0,3364,
11324,20100331,NM,41,0,1882,
11329,20100331,NM,41,0,532,
11331,20100331,NM,41,0,278,
11343,20100331,NM,41,0,1077,
11347,20100331,NM,41,0,10274,
11348,20100331,NM,41,0,10434,
11349,20100331,SM,41,0,19923,
11351,20100331,NM,41,0,3701,
11352,20100331,NM,41,0,11433,
11354,20100331,SM,41,0,5357,
11355,20100331,NM,41,0,1711,
11358,20100331,NM,41,0,30959,
1135,20100331,NM,41,0,4334,
11361,20100331,NM,41,0,3121,
11401,20100331,SM,41,0,16536,
11404,20100331,NM,41,0,1557,
11405,20100331,SM,41,0,106479,
11406,20100331,NM,41,0,16632,
11407,20100331,NM,41,0,27317,
11409,20100331,NM,41,0,1604,
11411,20100331,NM,41,0,1851,
11415,20100331,NM,41,0,5291,
11417,20100331,SM,41,0,718,
1141,20100331,SM,41,0,11358,
11423,20100331,NM,41,0,38612,
11431,20100331,NM,41,0,30812,
11432,20100331,NM,41,0,1745,
11438,20100331,NM,41,0,41025,810
1143,20100331,NM,41,0,161257,810
11444,20100331,NM,41,0,91615,
11445,20100331,NM,41,0,11386,
11446,20100331,NM,41,0,9260,
11448,20100331,NM,41,0,23721,
11457,20100331,NM,41,0,13927,
11459,20100331,NM,41,0,54572,
11462,20100331,NM,41,0,7310,
11463,20100331,SM,41,0,6983,
11465,20100331,NM,41,0,12175,
11466,20100331,NM,41,0,2949,
11469,20100331,NM,41,0,1168,
11475,20100331,NM,41,0,3013,
11477,20100331,SM,41,0,4057,
11479,20100331,NM,41,0,1835,
1147,20100331,NM,41,0,64628,810
11482,20100331,NM,41,0,5555,
11483,20100331,NM,41,0,175,
11491,20100331,NM,41,0,30314,
11492,20100331,NM,41,0,75260,
1149,20100331,SM,41,0,967,
11501,20100331,N,41,0,28317,
11506,20100331,SM,41,0,174327,810
11507,20100331,NM,41,211702,211702,
1150,20100331,NM,41,0,7221,
11518,20100331,NM,41,0,5696,
11519,20100331,NM,41,0,8913,
11521,20100331,SM,41,0,9108,
11522,20100331,N,41,0,29436,
11526,20100331,SM,41,0,32961,
11527,20100331,NM,41,0,176,
11539,20100331,NM,41,0,50996,
11550,20100331,NM,41,0,12550,
11552,20100331,NM,41,0,11391,
11557,20100331,NM,41,0,20886,
11559,20100331,NM,41,0,127450,
11561,20100331,NM,41,0,1442,
11569,20100331,NM,41,0,52386,
11570,20100331,NM,41,0,2115,
11578,20100331,NM,41,481514,481514,
11580,20100331,NM,41,0,58593,
11582,20100331,NM,41,0,12532,
11583,20100331,SM,41,0,7897,
11584,20100331,SM,41,150438,150438,
11595,20100331,SM,41,0,31171,
11601,20100331,NM,41,0,12441,
11603,20100331,NM,41,0,10060,
11607,20100331,SM,41,0,11718,
11608,20100331,NM,41,0,25940,
11609,20100331,NM,41,0,1811,
11623,20100331,NM,41,0,7414,
11625,20100331,NM,41,0,7297,
11634,20100331,NM,41,0,10311,
11636,20100331,N,41,0,100284,
1163,20100331,SM,41,0,3383,
11647,20100331,NM,41,0,13570,
1164,20100331,NM,41,0,123907,
1165,20100331,NM,41,0,3969,
11666,20100331,NM,41,0,59364,
11667,20100331,NM,41,0,3346,
11669,20100331,NM,41,0,3012,
11670,20100331,NM,41,0,56980,
11671,20100331,NM,41,0,16091,
11674,20100331,NM,41,0,7760,
1167,20100331,SM,41,0,11429,
