date,left,right,eligible,left_count,right_count,shared,left_share,right_share,jaccard,random_expected
2024-03-31,MLP,Autoencoder 7,4518,452,452,110,0.24336283185840707,0.24336283185840707,0.1385390428211587,45.22000885347499
2024-03-31,MLP,Autoencoder 99,4518,452,452,89,0.19690265486725664,0.19690265486725664,0.10920245398773006,45.22000885347499
2024-03-31,MLP,PCA without size,4518,452,452,76,0.168141592920354,0.168141592920354,0.09178743961352658,45.22000885347499
2024-03-31,MLP,Isolation Forest 42 without size,4518,452,452,181,0.4004424778761062,0.4004424778761062,0.2503457814661134,45.22000885347499
2024-03-31,MLP,Isolation Forest 7 without size,4518,452,452,180,0.39823008849557523,0.39823008849557523,0.24861878453038674,45.22000885347499
2024-03-31,MLP,Isolation Forest 99 without size,4518,452,452,179,0.39601769911504425,0.39601769911504425,0.24689655172413794,45.22000885347499
2024-03-31,MLP,Autoencoder 42 without size,4518,452,452,108,0.23893805309734514,0.23893805309734514,0.135678391959799,45.22000885347499
2024-03-31,MLP,Autoencoder 7 without size,4518,452,452,113,0.25,0.25,0.14285714285714285,45.22000885347499
2024-03-31,MLP,Autoencoder 99 without size,4518,452,452,114,0.252212389380531,0.252212389380531,0.14430379746835442,45.22000885347499
2024-03-31,Low equity/assets,Largest deposits,4518,452,452,21,0.046460176991150445,0.046460176991150445,0.02378255945639864,45.22000885347499
2024-03-31,Low equity/assets,PCA,4518,452,452,22,0.048672566371681415,0.048672566371681415,0.024943310657596373,45.22000885347499
2024-03-31,Low equity/assets,Isolation Forest 42,4518,452,452,75,0.16592920353982302,0.16592920353982302,0.09047044632086852,45.22000885347499
2024-03-31,Low equity/assets,Isolation Forest 7,4518,452,452,69,0.15265486725663716,0.15265486725663716,0.08263473053892216,45.22000885347499
2024-03-31,Low equity/assets,Isolation Forest 99,4518,452,452,59,0.13053097345132744,0.13053097345132744,0.06982248520710059,45.22000885347499
2024-03-31,Low equity/assets,Autoencoder 42,4518,452,452,46,0.10176991150442478,0.10176991150442478,0.053613053613053616,45.22000885347499
2024-03-31,Low equity/assets,Autoencoder 7,4518,452,452,78,0.17256637168141592,0.17256637168141592,0.09443099273607748,45.22000885347499
2024-03-31,Low equity/assets,Autoencoder 99,4518,452,452,36,0.07964601769911504,0.07964601769911504,0.041474654377880185,45.22000885347499
2024-03-31,Low equity/assets,PCA without size,4518,452,452,21,0.046460176991150445,0.046460176991150445,0.02378255945639864,45.22000885347499
2024-03-31,Low equity/assets,Isolation Forest 42 without size,4518,452,452,102,0.22566371681415928,0.22566371681415928,0.12718204488778054,45.22000885347499
2024-03-31,Low equity/assets,Isolation Forest 7 without size,4518,452,452,107,0.23672566371681417,0.23672566371681417,0.1342534504391468,45.22000885347499
2024-03-31,Low equity/assets,Isolation Forest 99 without size,4518,452,452,86,0.1902654867256637,0.1902654867256637,0.10513447432762836,45.22000885347499
2024-03-31,Low equity/assets,Autoencoder 42 without size,4518,452,452,64,0.1415929203539823,0.1415929203539823,0.0761904761904762,45.22000885347499
2024-03-31,Low equity/assets,Autoencoder 7 without size,4518,452,452,81,0.17920353982300885,0.17920353982300885,0.09842041312272175,45.22000885347499
