CERT,NAME,date,Ridge,MLP,Low equity/assets,Largest deposits,PCA,Isolation Forest 42,Isolation Forest 7,Isolation Forest 99,Autoencoder 42,Autoencoder 7,Autoencoder 99,PCA without size,Isolation Forest 42 without size,Isolation Forest 7 without size,Isolation Forest 99 without size,Autoencoder 42 without size,Autoencoder 7 without size,Autoencoder 99 without size
9665,KAW VALLEY BANK,2024-09-30,-0.0264156,-0.021317564,-0.12332676277715508,256575,0.021075380676411893,0.36002801969950404,0.35763598270708336,0.36105310267337704,0.052658087032960085,0.05226724383745851,0.06400029621644088,0.016697321407137148,0.36664096763089277,0.36912941422058737,0.36805349715485136,0.06401203071852629,0.05745636394996253,0.06578305063688955
9669,FREDONIA VALLEY BANK,2024-03-31,-0.015895495,-0.015338087,-0.10106189290529569,85491,0.010247655149144407,0.3637463988217229,0.3632361589801819,0.3665237438089185,0.07138905955584988,0.07116427786667584,0.07101789562079755,0.012855750054653472,0.3616014335868001,0.37020695959406125,0.36397154480935884,0.0947426451181282,0.08880543956122018,0.08611652940560541
9669,FREDONIA VALLEY BANK,2024-06-30,-0.01452451,-0.012524226,-0.10120781018761636,85619,0.012532529615278065,0.35741514875238295,0.361365005508539,0.3596753872268055,0.05867352458411338,0.05080835923398397,0.05570674393259765,0.01372407139472159,0.35932151130399365,0.3596714828611698,0.3584109732423055,0.06565097178485338,0.07291710914228496,0.07085458564777967
9669,FREDONIA VALLEY BANK,2024-09-30,-0.016261758,-0.0015056933,-0.10866171531292872,89805,0.0384131974882979,0.3635678637020088,0.36054394507627435,0.35994235662334845,0.060509687439171664,0.05880911183215546,0.06071494561057419,0.02178982201892176,0.3620716279552081,0.35868623102849106,0.3628522979618106,0.074446179534714,0.06789722682595617,0.08076399142136166
9672,OWINGSVILLE BANKING CO,2024-03-31,-0.01496475,-0.01800714,-0.06395110256797909,83869,0.014158245365583461,0.3995801646910545,0.4029250239804193,0.38889459377782526,0.06010211342301066,0.07646009258596717,0.050310727591564464,0.013899117600229854,0.4082936068930367,0.4073164380698108,0.4123224897535513,0.0999700160959916,0.10426402471934204,0.08689154913029576
9672,OWINGSVILLE BANKING CO,2024-06-30,-0.0156049775,-0.010104457,-0.06493589606843442,84812,0.008286121479209856,0.3933664199638531,0.39841276257050673,0.3916426787642869,0.055289169999031385,0.04965959876192112,0.04176463751507089,0.008450403554984491,0.40496878456193935,0.4039248325882439,0.40832863164721755,0.09469517613661191,0.060312160825416364,0.07776309819619703
9672,OWINGSVILLE BANKING CO,2024-09-30,-0.015937658,0.004162085,-0.07038989752965687,84668,0.0077300865564425255,0.3905936148281294,0.39382307089332264,0.3874530872989665,0.032449550670652035,0.05858105110851253,0.041609012018554076,0.007833266096017841,0.3968563458290038,0.40065057383085695,0.40603081857747686,0.061038812195515026,0.07822538390458807,0.07690817964534244
9678,EDMONTON STATE BANK,2024-03-31,-0.025300452,-0.03206576,-0.12016257444730846,887378,0.20635737613129526,0.390949690864181,0.41260144294568346,0.3962559606957733,0.2918519685725527,0.26860860706027045,0.28602423189543713,0.24437714341473815,0.4038530080520932,0.40866637513376547,0.40673667400221175,0.4128542366254815,0.2923524006450964,0.16168241989437376
9678,EDMONTON STATE BANK,2024-06-30,-0.024764908,-0.021864701,-0.11857375921071961,899225,0.1630689482487841,0.38793691176243217,0.3948622385213552,0.39359607655672313,0.23314040223880533,0.2274281882459332,0.2556508517195916,0.1990915577362172,0.3874671238295373,0.3946045991857521,0.39039983736154354,0.2768464090367296,0.21403973168491133,0.11561007422410957
9678,EDMONTON STATE BANK,2024-09-30,-0.024502054,-0.020828597,-0.11929988672350099,915047,0.15421162836315724,0.38674194487965124,0.39260291748007414,0.38437529567509215,0.21068683075447264,0.07754296406524264,0.2171338688757042,0.12307988145691304,0.3899128996921605,0.392613561281387,0.3859286750968865,0.2611790361699788,0.31272448875010284,0.22937825422828512
