CERT,date,method,log_deposits,cash_ratio,loan_ratio,equity_ratio,prior_growth
147,2024-06-30,PCA,0.0011588227430392559,0.47115941239312964,0.07305450560809802,0.02304193635062818,0.43158532290510493
147,2024-09-30,PCA,0.0021693879874567818,0.4066865434229876,0.0731148100223747,0.05819935971397717,0.45982989885320374
148,2024-03-31,PCA,0.0013195618910557718,0.02311985671540309,0.21937553723642175,0.003710869344383469,0.7524741748127358
148,2024-06-30,PCA,0.0028395244700384855,0.03834579270967484,0.054223472431400535,0.008371248768816626,0.8962199616200694
148,2024-09-30,PCA,0.0008398051262096466,0.13067740604984315,0.14504259849765938,0.1192323890693446,0.6042078012569432
149,2024-03-31,PCA,0.0003547870682314849,0.6584612129297364,0.12111491775418314,0.09907991669782559,0.1209891655500235
149,2024-06-30,PCA,0.0006133972391212111,0.4599809017933317,0.07995776768041617,0.08040011639027676,0.37904781689685413
149,2024-09-30,PCA,0.0005129658977513353,0.22790200975693875,0.05792410960668488,0.13639754460182835,0.5772633701367966
155,2024-03-31,PCA,0.0029495468685594387,0.42956657640190693,0.07428600731086062,0.01645337746611254,0.4767444919525603
155,2024-06-30,PCA,0.0018585803296649363,0.28424249031514326,0.06323898401552869,0.017534752136022153,0.6331251932036409
155,2024-09-30,PCA,0.002034993941573881,0.32579373928099814,0.053866024651486356,0.02387993174314341,0.5944253103827982
160,2024-03-31,PCA,0.0023320575317571594,0.2883321128191428,0.23249438862333288,0.02372979717175123,0.453111643854016
160,2024-06-30,PCA,0.0032211687522380327,0.1119990932983118,0.20955158310933247,0.020206839786099304,0.6550213150540184
160,2024-09-30,PCA,0.0032572031207845327,0.10711610424936915,0.30345770807901007,0.03740234430349225,0.548766640247344
169,2024-03-31,PCA,0.00040643904699292136,0.8455342715005183,0.05009832947696914,0.026164141921388665,0.07779681805413109
169,2024-06-30,PCA,0.0005330703291301093,0.7965622345424709,0.08686465955869277,0.03628206531006202,0.07975797025964426
169,2024-09-30,PCA,0.0007791383692695954,0.7413909520403809,0.14839521859811663,0.038755172923141144,0.07067951806909172
170,2024-03-31,PCA,0.0008001875044703066,0.6329691035950584,0.12375032211302311,0.043421659501855274,0.19905872728559282
170,2024-06-30,PCA,0.0018450347054443925,0.3810009102981567,0.09074334131885127,0.04063884565565859,0.48577186802188904
170,2024-09-30,PCA,0.0018521160352173369,0.2802916842021314,0.08634612793522266,0.050857794208727825,0.5806522776187008
172,2024-03-31,PCA,0.0003348176327807359,0.8337275894966272,0.08973747863160064,0.015319972294033783,0.06088014194495763
172,2024-06-30,PCA,0.0005747945412684263,0.8329122598837939,0.07863763827155637,0.017401945271264485,0.0704733620321169
172,2024-09-30,PCA,0.0007167689306096214,0.8308628223025779,0.06895136608983965,0.027517991053050358,0.07195105162392249
175,2024-03-31,PCA,0.0020342536923142296,0.1415843434777874,0.2713451262072432,0.05706231683041543,0.5279739597922397
175,2024-06-30,PCA,0.003709192656501289,0.12883204762241013,0.2065118669719962,0.04127194915593517,0.6196749435931573
175,2024-09-30,PCA,0.0025469912242152186,0.1241990528084815,0.24534193611810162,0.06142709826252233,0.5664849215866793
178,2024-03-31,PCA,0.0008764016378243752,0.6349588427041664,0.07389042924189253,0.12580426069314612,0.16447006572297077
178,2024-06-30,PCA,0.0008126354302239385,0.7571544315900649,0.06638156074236647,0.056254593945703216,0.11939677829164144
178,2024-09-30,PCA,0.0005516790641064425,0.7657358274475882,0.044109108774673826,0.0443612953316447,0.14524208938198688
183,2024-03-31,PCA,0.0005652093025023094,0.503117790582387,0.11753899362177929,0.20288223338213654,0.17589577311119486
183,2024-06-30,PCA,0.00167710786259099,0.30318147399753964,0.1562269658709284,0.1841331453377154,0.3547813069312255
183,2024-09-30,PCA,0.002454706989054242,0.16605602889435517,0.15263673246679713,0.2060444110101092,0.47280812063968425
197,2024-03-31,PCA,0.0006916954160350085,0.4414565276026038,0.3042100807588704,0.025279419029179035,0.22836227719331176
197,2024-06-30,PCA,0.0009856270467200388,0.27943943154275724,0.3665906485946922,0.028119468435959583,0.3248648243798709
197,2024-09-30,PCA,0.0009868064244994122,0.28383472925535713,0.3746083362498203,0.02892830736760669,0.3116418207027164
210,2024-03-31,PCA,0.0006797211427987963,0.07614670209207511,0.6516939928918346,0.09663636676957058,0.17484321710372094
210,2024-06-30,PCA,0.0007776244488335069,0.10642140923595278,0.6213980607613988,0.1126654932486544,0.1587374123051605
210,2024-09-30,PCA,0.001597807335666663,0.10983608372367967,0.4752979433066089,0.06460168275235709,0.3486664828816877
214,2024-03-31,PCA,0.0006318189771324132,0.21810435397872857,0.2414914038213094,0.4228252330922272,0.11694719013060235
214,2024-06-30,PCA,0.0012577844924021202,0.22023624253114718,0.23082525542704307,0.39890737367354495,0.1487733438758627
214,2024-09-30,PCA,0.0013581920373008098,0.24532624016438193,0.43987815661941543,0.14467826062214495,0.16875915055675694
226,2024-03-31,PCA,0.0033436526810829794,0.01141408477469512,0.09369659295039583,0.08051875064910838,0.8110269189447177
226,2024-06-30,PCA,0.003988714956557234,0.06027053744784374,0.08584856202609356,0.151443647270787,0.6984485382987184
226,2024-09-30,PCA,0.00319750189745859,0.10701635956230382,0.031927141165517176,0.0719614526258928,0.7858975447488274
228,2024-03-31,PCA,0.0035655475970162442,0.1212416704095675,0.17863776833351316,0.032160539069373016,0.6643944745905301
228,2024-06-30,PCA,0.0036033103908505917,0.12189859697225586,0.211674294519268,0.030007244253416592,0.632816553864209
228,2024-09-30,PCA,0.0026907855580379386,0.08621478856463027,0.12092429376083798,0.019074149127460124,0.7710959829890336
