CERT,date,Ridge,MLP,Low equity/assets,Largest deposits,PCA,Isolation Forest 42,Isolation Forest 7,Isolation Forest 99,Autoencoder 42,Autoencoder 7,Autoencoder 99,PCA without size,Isolation Forest 42 without size,Isolation Forest 7 without size,Isolation Forest 99 without size,Autoencoder 42 without size,Autoencoder 7 without size,Autoencoder 99 without size
352,2024-03-31,False,True,False,False,True,False,False,False,True,True,True,True,False,False,True,True,True,True
352,2024-06-30,False,False,False,False,True,False,False,False,True,True,True,True,False,False,False,True,True,True
352,2024-09-30,False,False,False,False,True,False,False,False,True,True,True,True,False,False,False,True,True,True
358,2024-03-31,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False
358,2024-06-30,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False
358,2024-09-30,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False
363,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
363,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
363,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
384,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
384,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
384,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
389,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
389,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
389,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
399,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
399,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
399,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
402,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
402,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
402,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
404,2024-03-31,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
404,2024-06-30,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
404,2024-09-30,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
406,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
406,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
406,2024-09-30,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
414,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
414,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
414,2024-09-30,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
418,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
418,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
418,2024-09-30,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
420,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
420,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
420,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
421,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
421,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
421,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
428,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
428,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
428,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
432,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
432,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
432,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
444,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
444,2024-06-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
444,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
445,2024-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
445,2024-06-30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
445,2024-09-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
