CERT,date,target_date
88,2015-06-30,2015-09-30
88,2015-09-30,2015-12-31
88,2015-12-31,2016-03-31
88,2016-03-31,2016-06-30
88,2016-06-30,2016-09-30
88,2016-09-30,2016-12-31
88,2016-12-31,2017-03-31
88,2017-03-31,2017-06-30
88,2017-06-30,2017-09-30
88,2017-09-30,2017-12-31
88,2017-12-31,2018-03-31
88,2018-03-31,2018-06-30
88,2018-06-30,2018-09-30
88,2018-09-30,2018-12-31
88,2018-12-31,2019-03-31
88,2019-03-31,2019-06-30
88,2019-06-30,2019-09-30
88,2019-09-30,2019-12-31
88,2019-12-31,2020-03-31
88,2020-03-31,2020-06-30
88,2020-06-30,2020-09-30
88,2020-09-30,2020-12-31
88,2020-12-31,2021-03-31
88,2021-03-31,2021-06-30
88,2021-06-30,2021-09-30
88,2021-09-30,2021-12-31
88,2021-12-31,2022-03-31
88,2022-03-31,2022-06-30
88,2022-06-30,2022-09-30
88,2022-09-30,2022-12-31
89,2013-06-30,2013-09-30
89,2013-09-30,2013-12-31
89,2013-12-31,2014-03-31
89,2014-03-31,2014-06-30
89,2014-06-30,2014-09-30
89,2014-09-30,2014-12-31
89,2014-12-31,2015-03-31
89,2015-03-31,2015-06-30
89,2015-06-30,2015-09-30
89,2015-09-30,2015-12-31
89,2015-12-31,2016-03-31
89,2016-03-31,2016-06-30
89,2016-06-30,2016-09-30
89,2016-09-30,2016-12-31
89,2016-12-31,2017-03-31
89,2017-03-31,2017-06-30
89,2017-06-30,2017-09-30
89,2017-09-30,2017-12-31
89,2017-12-31,2018-03-31
89,2018-03-31,2018-06-30
89,2018-06-30,2018-09-30
89,2018-09-30,2018-12-31
89,2018-12-31,2019-03-31
89,2019-03-31,2019-06-30
89,2019-06-30,2019-09-30
89,2019-09-30,2019-12-31
89,2019-12-31,2020-03-31
89,2020-03-31,2020-06-30
89,2020-06-30,2020-09-30
89,2020-09-30,2020-12-31
89,2020-12-31,2021-03-31
89,2021-03-31,2021-06-30
89,2021-06-30,2021-09-30
89,2021-09-30,2021-12-31
89,2021-12-31,2022-03-31
89,2022-03-31,2022-06-30
89,2022-06-30,2022-09-30
89,2022-09-30,2022-12-31
90,2013-06-30,2013-09-30
90,2013-09-30,2013-12-31
90,2013-12-31,2014-03-31
90,2014-03-31,2014-06-30
90,2014-06-30,2014-09-30
90,2014-09-30,2014-12-31
90,2014-12-31,2015-03-31
90,2015-03-31,2015-06-30
90,2015-06-30,2015-09-30
90,2015-09-30,2015-12-31
90,2015-12-31,2016-03-31
90,2016-03-31,2016-06-30
90,2016-06-30,2016-09-30
90,2016-09-30,2016-12-31
90,2016-12-31,2017-03-31
90,2017-03-31,2017-06-30
90,2017-06-30,2017-09-30
90,2017-09-30,2017-12-31
90,2017-12-31,2018-03-31
90,2018-03-31,2018-06-30
90,2018-06-30,2018-09-30
90,2018-09-30,2018-12-31
90,2018-12-31,2019-03-31
90,2019-03-31,2019-06-30
90,2019-06-30,2019-09-30
90,2019-09-30,2019-12-31
90,2019-12-31,2020-03-31
90,2020-03-31,2020-06-30
90,2020-06-30,2020-09-30
90,2020-09-30,2020-12-31
90,2020-12-31,2021-03-31
90,2021-03-31,2021-06-30
90,2021-06-30,2021-09-30
90,2021-09-30,2021-12-31
90,2021-12-31,2022-03-31
90,2022-03-31,2022-06-30
90,2022-06-30,2022-09-30
90,2022-09-30,2022-12-31
91,2013-06-30,2013-09-30
91,2013-09-30,2013-12-31
91,2013-12-31,2014-03-31
91,2014-03-31,2014-06-30
91,2014-06-30,2014-09-30
91,2014-09-30,2014-12-31
91,2014-12-31,2015-03-31
91,2015-03-31,2015-06-30
91,2015-06-30,2015-09-30
91,2015-09-30,2015-12-31
91,2015-12-31,2016-03-31
91,2016-03-31,2016-06-30
92,2013-06-30,2013-09-30
92,2013-09-30,2013-12-31
92,2013-12-31,2014-03-31
92,2014-03-31,2014-06-30
92,2014-06-30,2014-09-30
93,2013-06-30,2013-09-30
93,2013-09-30,2013-12-31
93,2013-12-31,2014-03-31
93,2014-03-31,2014-06-30
93,2014-06-30,2014-09-30
93,2014-09-30,2014-12-31
93,2014-12-31,2015-03-31
93,2015-03-31,2015-06-30
93,2015-06-30,2015-09-30
93,2015-09-30,2015-12-31
93,2015-12-31,2016-03-31
93,2016-03-31,2016-06-30
93,2016-06-30,2016-09-30
93,2016-09-30,2016-12-31
93,2016-12-31,2017-03-31
93,2017-03-31,2017-06-30
93,2017-06-30,2017-09-30
93,2017-09-30,2017-12-31
93,2017-12-31,2018-03-31
93,2018-03-31,2018-06-30
93,2018-06-30,2018-09-30
93,2018-09-30,2018-12-31
93,2018-12-31,2019-03-31
93,2019-03-31,2019-06-30
93,2019-06-30,2019-09-30
93,2019-09-30,2019-12-31
93,2019-12-31,2020-03-31
93,2020-03-31,2020-06-30
93,2020-06-30,2020-09-30
93,2020-09-30,2020-12-31
93,2020-12-31,2021-03-31
93,2021-03-31,2021-06-30
93,2021-06-30,2021-09-30
93,2021-09-30,2021-12-31
93,2021-12-31,2022-03-31
93,2022-03-31,2022-06-30
93,2022-06-30,2022-09-30
93,2022-09-30,2022-12-31
94,2013-06-30,2013-09-30
94,2013-09-30,2013-12-31
94,2013-12-31,2014-03-31
94,2014-03-31,2014-06-30
94,2014-06-30,2014-09-30
94,2014-09-30,2014-12-31
94,2014-12-31,2015-03-31
94,2015-03-31,2015-06-30
94,2015-06-30,2015-09-30
94,2015-09-30,2015-12-31
94,2015-12-31,2016-03-31
94,2016-03-31,2016-06-30
94,2016-06-30,2016-09-30
94,2016-09-30,2016-12-31
94,2016-12-31,2017-03-31
94,2017-03-31,2017-06-30
94,2017-06-30,2017-09-30
94,2017-09-30,2017-12-31
94,2017-12-31,2018-03-31
94,2018-03-31,2018-06-30
94,2018-06-30,2018-09-30
94,2018-09-30,2018-12-31
94,2018-12-31,2019-03-31
94,2019-03-31,2019-06-30
94,2019-06-30,2019-09-30
94,2019-09-30,2019-12-31
94,2019-12-31,2020-03-31
94,2020-03-31,2020-06-30
94,2020-06-30,2020-09-30
94,2020-09-30,2020-12-31
94,2020-12-31,2021-03-31
94,2021-03-31,2021-06-30
94,2021-06-30,2021-09-30
94,2021-09-30,2021-12-31
94,2021-12-31,2022-03-31
94,2022-03-31,2022-06-30
94,2022-06-30,2022-09-30
94,2022-09-30,2022-12-31
99,2013-06-30,2013-09-30
99,2013-09-30,2013-12-31
99,2013-12-31,2014-03-31
99,2014-03-31,2014-06-30
99,2014-06-30,2014-09-30
99,2014-09-30,2014-12-31
99,2014-12-31,2015-03-31
99,2015-03-31,2015-06-30
99,2015-06-30,2015-09-30
99,2015-09-30,2015-12-31
99,2015-12-31,2016-03-31
99,2016-03-31,2016-06-30
99,2016-06-30,2016-09-30
99,2016-09-30,2016-12-31
99,2016-12-31,2017-03-31
99,2017-03-31,2017-06-30
99,2017-06-30,2017-09-30
