Quarter,Asset group,Call form,Field,Rows,API populated,Zero values,Coverage,Zero share
20240630,Below USD 1bn,2,DEPUNINS,4,4,3,1.0,0.75
20240630,Below USD 1bn,31,DEPUNINS,11,11,5,1.0,0.45454545454545453
20240630,Below USD 1bn,41,DEPUNINS,531,531,19,1.0,0.035781544256120526
20240630,Below USD 1bn,51,DEPUNINS,3024,3024,35,1.0,0.011574074074074073
20240930,At least USD 1bn,2,DEPUNINS,13,13,5,1.0,0.38461538461538464
20240930,At least USD 1bn,31,DEPUNINS,71,71,2,1.0,0.028169014084507043
20240930,At least USD 1bn,41,DEPUNINS,533,533,2,1.0,0.00375234521575985
20240930,At least USD 1bn,51,DEPUNINS,429,429,1,1.0,0.002331002331002331
20240930,Below USD 1bn,2,DEPUNINS,4,4,3,1.0,0.75
20240930,Below USD 1bn,31,DEPUNINS,11,11,5,1.0,0.45454545454545453
20240930,Below USD 1bn,41,DEPUNINS,524,524,18,1.0,0.03435114503816794
20240930,Below USD 1bn,51,DEPUNINS,3004,3004,34,1.0,0.011318242343541944
20241231,At least USD 1bn,2,DEPUNINS,13,13,5,1.0,0.38461538461538464
20241231,At least USD 1bn,31,DEPUNINS,71,71,2,1.0,0.028169014084507043
20241231,At least USD 1bn,41,DEPUNINS,530,530,2,1.0,0.0037735849056603774
20241231,At least USD 1bn,51,DEPUNINS,420,420,1,1.0,0.002380952380952381
20241231,Below USD 1bn,2,DEPUNINS,4,4,3,1.0,0.75
20241231,Below USD 1bn,31,DEPUNINS,11,11,5,1.0,0.45454545454545453
20241231,Below USD 1bn,41,DEPUNINS,523,523,19,1.0,0.036328871892925434
20241231,Below USD 1bn,51,DEPUNINS,2988,2988,37,1.0,0.012382864792503346
