Repeat,Metric,Comparison,Difference
502,Precision difference (pp),MLP minus Ridge,-0.3720727297688964
502,MAE difference (pp),MLP minus Zero growth,0.04697542955223444
502,MAE difference (pp),MLP minus Ridge,-0.006025422274374748
502,MAE difference (pp),Seasonal median minus Zero growth,-0.09789727176570384
503,Precision difference (pp),Ridge minus Size-only Ridge,4.381838930269582
503,Precision difference (pp),MLP minus Ridge,-1.9920302066884248
503,MAE difference (pp),MLP minus Zero growth,0.022354850049208785
503,MAE difference (pp),MLP minus Ridge,-0.008633134477820104
503,MAE difference (pp),Seasonal median minus Zero growth,-0.10234372964703331
504,Precision difference (pp),Ridge minus Size-only Ridge,3.3568461702842667
504,Precision difference (pp),MLP minus Ridge,-0.7514677404182768
504,MAE difference (pp),MLP minus Zero growth,0.0052262020142590515
504,MAE difference (pp),MLP minus Ridge,-0.01913174800992401
504,MAE difference (pp),Seasonal median minus Zero growth,-0.10053280320266511
505,Precision difference (pp),Ridge minus Size-only Ridge,2.5176603293870006
505,Precision difference (pp),MLP minus Ridge,-1.082114411995222
505,MAE difference (pp),MLP minus Zero growth,0.02620171436025931
505,MAE difference (pp),MLP minus Ridge,-0.009028921247390631
505,MAE difference (pp),Seasonal median minus Zero growth,-0.100473695947219
506,Precision difference (pp),Ridge minus Size-only Ridge,2.7382948126237316
506,Precision difference (pp),MLP minus Ridge,-0.5273338168329589
506,MAE difference (pp),MLP minus Zero growth,0.031130522535799177
506,MAE difference (pp),MLP minus Ridge,-0.018600590897222435
506,MAE difference (pp),Seasonal median minus Zero growth,-0.0979034577057476
507,Precision difference (pp),Ridge minus Size-only Ridge,2.8876140681813043
507,Precision difference (pp),MLP minus Ridge,-2.1353008658219874
507,MAE difference (pp),MLP minus Zero growth,0.013085184472689804
507,MAE difference (pp),MLP minus Ridge,-0.012972070465111507
507,MAE difference (pp),Seasonal median minus Zero growth,-0.09623557833684782
508,Precision difference (pp),Ridge minus Size-only Ridge,4.317184271905528
508,Precision difference (pp),MLP minus Ridge,0.7440116652348006
508,MAE difference (pp),MLP minus Zero growth,-0.01980038396758088
508,MAE difference (pp),MLP minus Ridge,-0.03752664571137965
508,MAE difference (pp),Seasonal median minus Zero growth,-0.09784284126818887
509,Precision difference (pp),Ridge minus Size-only Ridge,2.373380566813715
509,Precision difference (pp),MLP minus Ridge,-1.8298213453418588
509,MAE difference (pp),MLP minus Zero growth,0.008508970412827388
509,MAE difference (pp),MLP minus Ridge,-0.013902212603588815
509,MAE difference (pp),Seasonal median minus Zero growth,-0.1120149758990352
510,Precision difference (pp),Ridge minus Size-only Ridge,3.379694827598001
510,Precision difference (pp),MLP minus Ridge,-1.0733909199614615
510,MAE difference (pp),MLP minus Zero growth,0.04716275417002791
510,MAE difference (pp),MLP minus Ridge,-0.009225094095667519
510,MAE difference (pp),Seasonal median minus Zero growth,-0.09452367360401936
511,Precision difference (pp),Ridge minus Size-only Ridge,1.5623016710374777
511,Precision difference (pp),MLP minus Ridge,-0.5366398417428808
511,MAE difference (pp),MLP minus Zero growth,0.017120181618223373
511,MAE difference (pp),MLP minus Ridge,-0.0035988467724115125
511,MAE difference (pp),Seasonal median minus Zero growth,-0.11201850932046531
512,Precision difference (pp),Ridge minus Size-only Ridge,4.569860220347302
512,Precision difference (pp),MLP minus Ridge,-0.011811049315008093
512,MAE difference (pp),MLP minus Zero growth,0.025969331592010647
512,MAE difference (pp),MLP minus Ridge,-0.030684766169801314
512,MAE difference (pp),Seasonal median minus Zero growth,-0.09987136410155584
513,Precision difference (pp),Ridge minus Size-only Ridge,2.679690349589464
513,Precision difference (pp),MLP minus Ridge,-0.7320361420590726
513,MAE difference (pp),MLP minus Zero growth,0.045213320356806364
513,MAE difference (pp),MLP minus Ridge,-0.002874089106084554
513,MAE difference (pp),Seasonal median minus Zero growth,-0.09642585811668081
514,Precision difference (pp),Ridge minus Size-only Ridge,3.11773431669706
514,Precision difference (pp),MLP minus Ridge,0.34855906631673095
514,MAE difference (pp),MLP minus Zero growth,0.031712190594956
514,MAE difference (pp),MLP minus Ridge,-0.005036970559089582
514,MAE difference (pp),Seasonal median minus Zero growth,-0.10361446507761585
515,Precision difference (pp),Ridge minus Size-only Ridge,4.621622113289392
515,Precision difference (pp),MLP minus Ridge,-1.0958428845423724
515,MAE difference (pp),MLP minus Zero growth,-0.010527115550479582
515,MAE difference (pp),MLP minus Ridge,-0.027464275746355238
515,MAE difference (pp),Seasonal median minus Zero growth,-0.11224345456632934
516,Precision difference (pp),Ridge minus Size-only Ridge,1.857811181511007
516,Precision difference (pp),MLP minus Ridge,-1.0383002983426675
516,MAE difference (pp),MLP minus Zero growth,0.051931609506556065
516,MAE difference (pp),MLP minus Ridge,0.00755416128470765
516,MAE difference (pp),Seasonal median minus Zero growth,-0.1021734532970755
517,Precision difference (pp),Ridge minus Size-only Ridge,3.1348909599801855
517,Precision difference (pp),MLP minus Ridge,-1.8217627900854183
517,MAE difference (pp),MLP minus Zero growth,0.04208129060692034
517,MAE difference (pp),MLP minus Ridge,-0.015479962530652536
517,MAE difference (pp),Seasonal median minus Zero growth,-0.09046521135848273
518,Precision difference (pp),Ridge minus Size-only Ridge,1.1224012588647665
518,Precision difference (pp),MLP minus Ridge,-0.49326042862573305
518,MAE difference (pp),MLP minus Zero growth,0.06249882943860463
518,MAE difference (pp),MLP minus Ridge,0.009697208703354665
518,MAE difference (pp),Seasonal median minus Zero growth,-0.0960227541833576
519,Precision difference (pp),Ridge minus Size-only Ridge,2.1087137423545204
519,Precision difference (pp),MLP minus Ridge,0.4998065460352724
519,MAE difference (pp),MLP minus Zero growth,0.02389559485704229
519,MAE difference (pp),MLP minus Ridge,-0.014048445159934086
519,MAE difference (pp),Seasonal median minus Zero growth,-0.10382733538525724
520,Precision difference (pp),Ridge minus Size-only Ridge,1.1111177429517616
520,Precision difference (pp),MLP minus Ridge,0.62528381296722
520,MAE difference (pp),MLP minus Zero growth,0.02799571823732272
520,MAE difference (pp),MLP minus Ridge,-0.01802244230656358
520,MAE difference (pp),Seasonal median minus Zero growth,-0.10655561501623412
521,Precision difference (pp),Ridge minus Size-only Ridge,3.795181885101792
521,Precision difference (pp),MLP minus Ridge,1.4255771160816972
521,MAE difference (pp),MLP minus Zero growth,0.02551666183025203
521,MAE difference (pp),MLP minus Ridge,-0.023621252061830855
521,MAE difference (pp),Seasonal median minus Zero growth,-0.10459840081731864
522,Precision difference (pp),Ridge minus Size-only Ridge,0.7114327958932576
522,Precision difference (pp),MLP minus Ridge,-0.01422277986118381
522,MAE difference (pp),MLP minus Zero growth,0.03863733616895271
522,MAE difference (pp),MLP minus Ridge,0.0015655221736921021
522,MAE difference (pp),Seasonal median minus Zero growth,-0.10367110172979155
523,Precision difference (pp),Ridge minus Size-only Ridge,4.6155451671504615
523,Precision difference (pp),MLP minus Ridge,-2.126706630362646
523,MAE difference (pp),MLP minus Zero growth,0.021619153001412705
523,MAE difference (pp),MLP minus Ridge,-0.013382589219619767
523,MAE difference (pp),Seasonal median minus Zero growth,-0.0999223934780944
524,Precision difference (pp),Ridge minus Size-only Ridge,2.4145147206874134
524,Precision difference (pp),MLP minus Ridge,0.9502093427399244
524,MAE difference (pp),MLP minus Zero growth,0.008830545589394223
524,MAE difference (pp),MLP minus Ridge,0.002896854378505065
524,MAE difference (pp),Seasonal median minus Zero growth,-0.11605757978504361
525,Precision difference (pp),Ridge minus Size-only Ridge,2.6711615849844854
525,Precision difference (pp),MLP minus Ridge,0.6908968656256675
525,MAE difference (pp),MLP minus Zero growth,0.010872324055447358
525,MAE difference (pp),MLP minus Ridge,-0.02293178876881452
525,MAE difference (pp),Seasonal median minus Zero growth,-0.10136323062915675
526,Precision difference (pp),Ridge minus Size-only Ridge,3.522000654844906
526,Precision difference (pp),MLP minus Ridge,-1.644085258066974
526,MAE difference (pp),MLP minus Zero growth,0.03438251072096765
526,MAE difference (pp),MLP minus Ridge,-0.02116473870585578
526,MAE difference (pp),Seasonal median minus Zero growth,-0.10043306483927061
527,Precision difference (pp),Ridge minus Size-only Ridge,2.801722735084977
527,Precision difference (pp),MLP minus Ridge,0.7708986016477737
527,MAE difference (pp),MLP minus Zero growth,0.012381007470022798
527,MAE difference (pp),MLP minus Ridge,-0.03492337595937123
527,MAE difference (pp),Seasonal median minus Zero growth,-0.10166345083298678
528,Precision difference (pp),Ridge minus Size-only Ridge,4.061442955181802
528,Precision difference (pp),MLP minus Ridge,0.6280625273911516
528,MAE difference (pp),MLP minus Zero growth,-0.007961066343572742
528,MAE difference (pp),MLP minus Ridge,-0.03813179724347293
528,MAE difference (pp),Seasonal median minus Zero growth,-0.10320593079028217
529,Precision difference (pp),Ridge minus Size-only Ridge,2.226051741905022
529,Precision difference (pp),MLP minus Ridge,0.8090678516324584
529,MAE difference (pp),MLP minus Zero growth,0.0406909949837897
529,MAE difference (pp),MLP minus Ridge,-0.04207907706300018
529,MAE difference (pp),Seasonal median minus Zero growth,-0.08931345582015693
530,Precision difference (pp),Ridge minus Size-only Ridge,0.2739487866247503
530,Precision difference (pp),MLP minus Ridge,1.0406688301952849
530,MAE difference (pp),MLP minus Zero growth,0.024815171333599118
530,MAE difference (pp),MLP minus Ridge,-0.012635706915158806
530,MAE difference (pp),Seasonal median minus Zero growth,-0.10557074653133691
531,Precision difference (pp),Ridge minus Size-only Ridge,3.256345910861749
531,Precision difference (pp),MLP minus Ridge,-0.21617521850962884
531,MAE difference (pp),MLP minus Zero growth,0.020479230055524322
531,MAE difference (pp),MLP minus Ridge,-0.010515732249348542
531,MAE difference (pp),Seasonal median minus Zero growth,-0.10020591650110511
532,Precision difference (pp),Ridge minus Size-only Ridge,3.3719932833178063
532,Precision difference (pp),MLP minus Ridge,1.0568568833909997
532,MAE difference (pp),MLP minus Zero growth,0.011134061859337407
532,MAE difference (pp),MLP minus Ridge,-0.029601693162736975
532,MAE difference (pp),Seasonal median minus Zero growth,-0.1045166037236509
533,Precision difference (pp),Ridge minus Size-only Ridge,4.222678343675093
533,Precision difference (pp),MLP minus Ridge,-1.7114676696298181
533,MAE difference (pp),MLP minus Zero growth,0.0509741165458677
533,MAE difference (pp),MLP minus Ridge,0.005791153373133184
533,MAE difference (pp),Seasonal median minus Zero growth,-0.10373213256210745
534,Precision difference (pp),Ridge minus Size-only Ridge,4.560859935360223
534,Precision difference (pp),MLP minus Ridge,-1.5948127571860815
534,MAE difference (pp),MLP minus Zero growth,-0.003467865485671684
534,MAE difference (pp),MLP minus Ridge,-0.012124622475794933
534,MAE difference (pp),Seasonal median minus Zero growth,-0.11826433234546574
535,Precision difference (pp),Ridge minus Size-only Ridge,2.0102728420545724
535,Precision difference (pp),MLP minus Ridge,1.764843960626719
535,MAE difference (pp),MLP minus Zero growth,0.03731215960147294
535,MAE difference (pp),MLP minus Ridge,-0.0014596695694222284
535,MAE difference (pp),Seasonal median minus Zero growth,-0.09828892910460141
536,Precision difference (pp),Ridge minus Size-only Ridge,4.073144451175717
536,Precision difference (pp),MLP minus Ridge,-0.028786786745793602
536,MAE difference (pp),MLP minus Zero growth,0.03650763909061583
536,MAE difference (pp),MLP minus Ridge,-0.022507545085108216
536,MAE difference (pp),Seasonal median minus Zero growth,-0.0942489450760906
537,Precision difference (pp),Ridge minus Size-only Ridge,2.21066337995314
537,Precision difference (pp),MLP minus Ridge,-0.8175930209225357
537,MAE difference (pp),MLP minus Zero growth,0.021234741029762638
537,MAE difference (pp),MLP minus Ridge,-0.022341236288329736
537,MAE difference (pp),Seasonal median minus Zero growth,-0.09853744172551693
538,Precision difference (pp),Ridge minus Size-only Ridge,4.512291680108632
538,Precision difference (pp),MLP minus Ridge,-1.0948547795701065
538,MAE difference (pp),MLP minus Zero growth,0.007295352989089121
538,MAE difference (pp),MLP minus Ridge,-0.014589356971388412
538,MAE difference (pp),Seasonal median minus Zero growth,-0.11023417159912485
539,Precision difference (pp),Ridge minus Size-only Ridge,3.1110619442263454
539,Precision difference (pp),MLP minus Ridge,-1.9947350388860974
539,MAE difference (pp),MLP minus Zero growth,0.05121613291475713
539,MAE difference (pp),MLP minus Ridge,-0.0025784872974665696
539,MAE difference (pp),Seasonal median minus Zero growth,-0.09315860941900711
540,Precision difference (pp),Ridge minus Size-only Ridge,3.2115520313279107
540,Precision difference (pp),MLP minus Ridge,-0.7900459520223779
540,MAE difference (pp),MLP minus Zero growth,-0.01545715179193019
540,MAE difference (pp),MLP minus Ridge,-0.02233410220908061
540,MAE difference (pp),Seasonal median minus Zero growth,-0.10970998855051839
541,Precision difference (pp),Ridge minus Size-only Ridge,4.677766293500288
541,Precision difference (pp),MLP minus Ridge,-1.2110542197934753
541,MAE difference (pp),MLP minus Zero growth,0.011889536963932912
541,MAE difference (pp),MLP minus Ridge,-0.012077539549148586
541,MAE difference (pp),Seasonal median minus Zero growth,-0.1102853183573127
542,Precision difference (pp),Ridge minus Size-only Ridge,3.7716876150889616
542,Precision difference (pp),MLP minus Ridge,0.1501336924848301
542,MAE difference (pp),MLP minus Zero growth,0.007899372951809092
542,MAE difference (pp),MLP minus Ridge,-0.023720988504952967
542,MAE difference (pp),Seasonal median minus Zero growth,-0.0951668398885408
543,Precision difference (pp),Ridge minus Size-only Ridge,6.0794612897048825
543,Precision difference (pp),MLP minus Ridge,-0.5225610104980849
543,MAE difference (pp),MLP minus Zero growth,0.017072305088203343
543,MAE difference (pp),MLP minus Ridge,-0.03203253041681098
543,MAE difference (pp),Seasonal median minus Zero growth,-0.10385041669892203
544,Precision difference (pp),Ridge minus Size-only Ridge,3.8452328254957537
544,Precision difference (pp),MLP minus Ridge,0.17528888102748552
544,MAE difference (pp),MLP minus Zero growth,0.034402513820722014
544,MAE difference (pp),MLP minus Ridge,-0.0035109436381866033
544,MAE difference (pp),Seasonal median minus Zero growth,-0.09241516340823441
545,Precision difference (pp),Ridge minus Size-only Ridge,3.6331164270482996
545,Precision difference (pp),MLP minus Ridge,0.9025671067534824
545,MAE difference (pp),MLP minus Zero growth,-0.014010770088951574
545,MAE difference (pp),MLP minus Ridge,-0.02765916709601912
545,MAE difference (pp),Seasonal median minus Zero growth,-0.10378799516797876
546,Precision difference (pp),Ridge minus Size-only Ridge,4.2762465193825925
546,Precision difference (pp),MLP minus Ridge,-0.8890044328293878
546,MAE difference (pp),MLP minus Zero growth,0.0012686056959787528
546,MAE difference (pp),MLP minus Ridge,-0.026568244218429182
546,MAE difference (pp),Seasonal median minus Zero growth,-0.10122913379403098
547,Precision difference (pp),Ridge minus Size-only Ridge,2.004884344235669
547,Precision difference (pp),MLP minus Ridge,0.1995439528323345
547,MAE difference (pp),MLP minus Zero growth,0.0779976350556093
547,MAE difference (pp),MLP minus Ridge,0.016004472276015314
547,MAE difference (pp),Seasonal median minus Zero growth,-0.09127548048264567
548,Precision difference (pp),Ridge minus Size-only Ridge,3.8172600430191466
548,Precision difference (pp),MLP minus Ridge,-1.4569794442952948
548,MAE difference (pp),MLP minus Zero growth,0.002942363346086996
548,MAE difference (pp),MLP minus Ridge,-0.054830372012609985
548,MAE difference (pp),Seasonal median minus Zero growth,-0.08252198298501856
549,Precision difference (pp),Ridge minus Size-only Ridge,2.9121717035031915
549,Precision difference (pp),MLP minus Ridge,-0.4018296283254452
549,MAE difference (pp),MLP minus Zero growth,0.06314268640177723
549,MAE difference (pp),MLP minus Ridge,0.023997522380908354
549,MAE difference (pp),Seasonal median minus Zero growth,-0.10045439464290551
550,Precision difference (pp),Ridge minus Size-only Ridge,3.403250965846716
550,Precision difference (pp),MLP minus Ridge,-1.4989868876865402
550,MAE difference (pp),MLP minus Zero growth,0.04398518449790023
550,MAE difference (pp),MLP minus Ridge,-0.013965382902347834
550,MAE difference (pp),Seasonal median minus Zero growth,-0.0946493148203027
551,Precision difference (pp),Ridge minus Size-only Ridge,1.1355590221352019
551,Precision difference (pp),MLP minus Ridge,0.818055723972283
551,MAE difference (pp),MLP minus Zero growth,-0.0147995597987447
551,MAE difference (pp),MLP minus Ridge,-0.014457332400085399
551,MAE difference (pp),Seasonal median minus Zero growth,-0.11746941095270413
552,Precision difference (pp),Ridge minus Size-only Ridge,5.36984050121424
552,Precision difference (pp),MLP minus Ridge,-1.7463948994176026
552,MAE difference (pp),MLP minus Zero growth,0.03911140498749255
552,MAE difference (pp),MLP minus Ridge,5.330288013061235e-05
552,MAE difference (pp),Seasonal median minus Zero growth,-0.10275584283629868
553,Precision difference (pp),Ridge minus Size-only Ridge,2.3723713901936727
553,Precision difference (pp),MLP minus Ridge,-0.8228484486958787
553,MAE difference (pp),MLP minus Zero growth,0.01777303234257044
553,MAE difference (pp),MLP minus Ridge,-0.022067318984181572
553,MAE difference (pp),Seasonal median minus Zero growth,-0.1038154916015297
554,Precision difference (pp),Ridge minus Size-only Ridge,2.949721298012886
554,Precision difference (pp),MLP minus Ridge,2.4005865530085044
554,MAE difference (pp),MLP minus Zero growth,0.023812794228677436
554,MAE difference (pp),MLP minus Ridge,-0.02769992227975715
554,MAE difference (pp),Seasonal median minus Zero growth,-0.10468825602996068
555,Precision difference (pp),Ridge minus Size-only Ridge,2.2290632395543355
555,Precision difference (pp),MLP minus Ridge,2.5295421280225576
555,MAE difference (pp),MLP minus Zero growth,-0.0012196454052388894
555,MAE difference (pp),MLP minus Ridge,-0.02384629296817886
555,MAE difference (pp),Seasonal median minus Zero growth,-0.1120341274365595
556,Precision difference (pp),Ridge minus Size-only Ridge,5.515669199434544
556,Precision difference (pp),MLP minus Ridge,-1.3270385592353273
556,MAE difference (pp),MLP minus Zero growth,0.013751571803668927
556,MAE difference (pp),MLP minus Ridge,-0.023905646242257106
556,MAE difference (pp),Seasonal median minus Zero growth,-0.09764307041373188
557,Precision difference (pp),Ridge minus Size-only Ridge,4.441648537463616
557,Precision difference (pp),MLP minus Ridge,-0.5097137741501334
557,MAE difference (pp),MLP minus Zero growth,0.007999844856132032
557,MAE difference (pp),MLP minus Ridge,-0.021736006928548157
557,MAE difference (pp),Seasonal median minus Zero growth,-0.10483527648390778
558,Precision difference (pp),Ridge minus Size-only Ridge,3.4305284878771545
558,Precision difference (pp),MLP minus Ridge,-0.24658113458777275
558,MAE difference (pp),MLP minus Zero growth,-0.003463791566896912
558,MAE difference (pp),MLP minus Ridge,-0.043685733221089595
558,MAE difference (pp),Seasonal median minus Zero growth,-0.09267475522457769
559,Precision difference (pp),Ridge minus Size-only Ridge,3.086110994305455
559,Precision difference (pp),MLP minus Ridge,-1.910203016895598
559,MAE difference (pp),MLP minus Zero growth,0.0487219293118164
559,MAE difference (pp),MLP minus Ridge,0.009694138893156179
559,MAE difference (pp),Seasonal median minus Zero growth,-0.09911853822588812
560,Precision difference (pp),Ridge minus Size-only Ridge,3.9738994957906697
560,Precision difference (pp),MLP minus Ridge,-0.5548004425162845
560,MAE difference (pp),MLP minus Zero growth,0.043301167301950105
560,MAE difference (pp),MLP minus Ridge,0.0019598617455822698
560,MAE difference (pp),Seasonal median minus Zero growth,-0.10047471388385265
561,Precision difference (pp),Ridge minus Size-only Ridge,2.1257539602063864
561,Precision difference (pp),MLP minus Ridge,0.1667487832966913
561,MAE difference (pp),MLP minus Zero growth,0.04630176898035909
561,MAE difference (pp),MLP minus Ridge,-0.0004854161229270737
561,MAE difference (pp),Seasonal median minus Zero growth,-0.10121076878994417
562,Precision difference (pp),Ridge minus Size-only Ridge,2.0307193961395686
562,Precision difference (pp),MLP minus Ridge,-2.4361534033529586
562,MAE difference (pp),MLP minus Zero growth,0.0011502939133030132
562,MAE difference (pp),MLP minus Ridge,-0.01995038482673772
562,MAE difference (pp),Seasonal median minus Zero growth,-0.11640801055041372
563,Precision difference (pp),Ridge minus Size-only Ridge,3.091966620430159
563,Precision difference (pp),MLP minus Ridge,-0.9001534568853414
563,MAE difference (pp),MLP minus Zero growth,0.03757416757990795
563,MAE difference (pp),MLP minus Ridge,-0.006720878687361598
563,MAE difference (pp),Seasonal median minus Zero growth,-0.09359897667002937
564,Precision difference (pp),Ridge minus Size-only Ridge,3.3393766843968553
564,Precision difference (pp),MLP minus Ridge,0.21259412628915897
564,MAE difference (pp),MLP minus Zero growth,-0.01034426484320905
564,MAE difference (pp),MLP minus Ridge,-0.017936501073668065
564,MAE difference (pp),Seasonal median minus Zero growth,-0.11064049341254778
565,Precision difference (pp),Ridge minus Size-only Ridge,5.472567980965726
565,Precision difference (pp),MLP minus Ridge,-1.5346230528115372
565,MAE difference (pp),MLP minus Zero growth,0.024252071953704046
565,MAE difference (pp),MLP minus Ridge,-0.006675141872743762
565,MAE difference (pp),Seasonal median minus Zero growth,-0.11008362010064543
566,Precision difference (pp),Ridge minus Size-only Ridge,3.58216284490539
566,Precision difference (pp),MLP minus Ridge,-0.3496539259291609
566,MAE difference (pp),MLP minus Zero growth,-0.009826650392380287
566,MAE difference (pp),MLP minus Ridge,-0.02638394954862866
566,MAE difference (pp),Seasonal median minus Zero growth,-0.1151222844589741
567,Precision difference (pp),Ridge minus Size-only Ridge,3.4996051355916546
567,Precision difference (pp),MLP minus Ridge,-1.0461368052417792
567,MAE difference (pp),MLP minus Zero growth,0.03974887655261927
567,MAE difference (pp),MLP minus Ridge,-0.01826713759192833
567,MAE difference (pp),Seasonal median minus Zero growth,-0.09127330200373684
568,Precision difference (pp),Ridge minus Size-only Ridge,2.736436451312016
568,Precision difference (pp),MLP minus Ridge,2.7023230830859557
568,MAE difference (pp),MLP minus Zero growth,-0.010794897406392945
568,MAE difference (pp),MLP minus Ridge,-0.03336828364018274
568,MAE difference (pp),Seasonal median minus Zero growth,-0.10207748887885293
569,Precision difference (pp),Ridge minus Size-only Ridge,4.115569612972639
569,Precision difference (pp),MLP minus Ridge,-0.8736471091184306
569,MAE difference (pp),MLP minus Zero growth,0.03485340394632219
569,MAE difference (pp),MLP minus Ridge,-0.01493717735158162
569,MAE difference (pp),Seasonal median minus Zero growth,-0.09015849210941118
570,Precision difference (pp),Ridge minus Size-only Ridge,4.708579163357027
570,Precision difference (pp),MLP minus Ridge,-1.056754079448874
570,MAE difference (pp),MLP minus Zero growth,0.028890638371804833
570,MAE difference (pp),MLP minus Ridge,0.013384913850033708
570,MAE difference (pp),Seasonal median minus Zero growth,-0.10560943396200351
571,Precision difference (pp),Ridge minus Size-only Ridge,1.6967590010439793
571,Precision difference (pp),MLP minus Ridge,0.9001272612456424
571,MAE difference (pp),MLP minus Zero growth,0.01916295784151867
571,MAE difference (pp),MLP minus Ridge,-0.031491958970296
571,MAE difference (pp),Seasonal median minus Zero growth,-0.09678373047556699
572,Precision difference (pp),Ridge minus Size-only Ridge,2.269449528553033
572,Precision difference (pp),MLP minus Ridge,2.8698674836138887
572,MAE difference (pp),MLP minus Zero growth,0.04846734092396865
572,MAE difference (pp),MLP minus Ridge,-0.011291634165936149
572,MAE difference (pp),Seasonal median minus Zero growth,-0.09670520613611266
573,Precision difference (pp),Ridge minus Size-only Ridge,4.210133750186892
573,Precision difference (pp),MLP minus Ridge,-0.014314371864887487
573,MAE difference (pp),MLP minus Zero growth,0.03932970991603035
573,MAE difference (pp),MLP minus Ridge,0.007343755895587112
573,MAE difference (pp),Seasonal median minus Zero growth,-0.09432487386752086
574,Precision difference (pp),Ridge minus Size-only Ridge,2.743762861804866
574,Precision difference (pp),MLP minus Ridge,0.5754247217335945
574,MAE difference (pp),MLP minus Zero growth,0.014830254140333565
574,MAE difference (pp),MLP minus Ridge,-0.0038196254920355166
574,MAE difference (pp),Seasonal median minus Zero growth,-0.1012709583008653
575,Precision difference (pp),Ridge minus Size-only Ridge,2.7650500104974887
575,Precision difference (pp),MLP minus Ridge,1.163291662008703
575,MAE difference (pp),MLP minus Zero growth,0.037498721951309655
575,MAE difference (pp),MLP minus Ridge,-0.02594277778073817
575,MAE difference (pp),Seasonal median minus Zero growth,-0.07754073548873697
576,Precision difference (pp),Ridge minus Size-only Ridge,2.6701181807236516
576,Precision difference (pp),MLP minus Ridge,-1.0561719690439038
576,MAE difference (pp),MLP minus Zero growth,0.041799215417078095
576,MAE difference (pp),MLP minus Ridge,0.022496080161573673
576,MAE difference (pp),Seasonal median minus Zero growth,-0.11018058611936565
577,Precision difference (pp),Ridge minus Size-only Ridge,4.080705715061339
577,Precision difference (pp),MLP minus Ridge,-0.07007112509309354
577,MAE difference (pp),MLP minus Zero growth,0.017345752311046958
577,MAE difference (pp),MLP minus Ridge,-0.028999220496556344
577,MAE difference (pp),Seasonal median minus Zero growth,-0.09625671597099617
578,Precision difference (pp),Ridge minus Size-only Ridge,6.197743962261859
578,Precision difference (pp),MLP minus Ridge,-1.8850582347469365
578,MAE difference (pp),MLP minus Zero growth,0.0143568730493282
578,MAE difference (pp),MLP minus Ridge,-0.01699689313089081
578,MAE difference (pp),Seasonal median minus Zero growth,-0.1007758699746879
579,Precision difference (pp),Ridge minus Size-only Ridge,3.5304424776228416
579,Precision difference (pp),MLP minus Ridge,0.9918526142441209
579,MAE difference (pp),MLP minus Zero growth,0.016870110975299557
579,MAE difference (pp),MLP minus Ridge,-0.019201312015018512
579,MAE difference (pp),Seasonal median minus Zero growth,-0.09766837145080709
580,Precision difference (pp),Ridge minus Size-only Ridge,3.197759289182853
580,Precision difference (pp),MLP minus Ridge,0.194517184816681
580,MAE difference (pp),MLP minus Zero growth,0.049151019079933356
580,MAE difference (pp),MLP minus Ridge,0.011545599373726567
580,MAE difference (pp),Seasonal median minus Zero growth,-0.10420898334849049
581,Precision difference (pp),Ridge minus Size-only Ridge,2.1366715062474313
581,Precision difference (pp),MLP minus Ridge,1.564263879329522
581,MAE difference (pp),MLP minus Zero growth,0.026379905736413356
581,MAE difference (pp),MLP minus Ridge,-0.016032288837650288
581,MAE difference (pp),Seasonal median minus Zero growth,-0.09961334261601351
582,Precision difference (pp),Ridge minus Size-only Ridge,1.507143048411863
582,Precision difference (pp),MLP minus Ridge,1.0060398603743774
582,MAE difference (pp),MLP minus Zero growth,0.012718116589786277
582,MAE difference (pp),MLP minus Ridge,-0.009940442630883783
582,MAE difference (pp),Seasonal median minus Zero growth,-0.1023681684986344
583,Precision difference (pp),Ridge minus Size-only Ridge,5.5994801285511375
583,Precision difference (pp),MLP minus Ridge,-2.405191048921343
583,MAE difference (pp),MLP minus Zero growth,0.041021026733524035
583,MAE difference (pp),MLP minus Ridge,-0.0007656688342061457
583,MAE difference (pp),Seasonal median minus Zero growth,-0.10041235067606946
584,Precision difference (pp),Ridge minus Size-only Ridge,2.8672290924295214
584,Precision difference (pp),MLP minus Ridge,-0.115957276746953
584,MAE difference (pp),MLP minus Zero growth,0.043647847952079655
584,MAE difference (pp),MLP minus Ridge,-0.008759400214625845
584,MAE difference (pp),Seasonal median minus Zero growth,-0.10275172016319667
585,Precision difference (pp),Ridge minus Size-only Ridge,1.428124927663571
585,Precision difference (pp),MLP minus Ridge,1.3448788492225834
585,MAE difference (pp),MLP minus Zero growth,0.04250702830804043
585,MAE difference (pp),MLP minus Ridge,-0.025500117824179824
585,MAE difference (pp),Seasonal median minus Zero growth,-0.10143297194127321
586,Precision difference (pp),Ridge minus Size-only Ridge,2.9485669098511638
586,Precision difference (pp),MLP minus Ridge,-0.6927667798375392
586,MAE difference (pp),MLP minus Zero growth,0.032236841500442814
586,MAE difference (pp),MLP minus Ridge,-0.01868459497476005
586,MAE difference (pp),Seasonal median minus Zero growth,-0.08270576178517297
587,Precision difference (pp),Ridge minus Size-only Ridge,2.1706754884272095
587,Precision difference (pp),MLP minus Ridge,-0.5241787496869738
587,MAE difference (pp),MLP minus Zero growth,0.014763498485390159
587,MAE difference (pp),MLP minus Ridge,0.002643328262688538
587,MAE difference (pp),Seasonal median minus Zero growth,-0.10093483792599534
588,Precision difference (pp),Ridge minus Size-only Ridge,4.012793699620473
588,Precision difference (pp),MLP minus Ridge,0.037914533972960296
