Repeat,Metric,Comparison,Difference
28,MAE difference (pp),MLP minus Zero growth,0.01042548923093678
28,MAE difference (pp),MLP minus Ridge,-0.0363537126745932
28,MAE difference (pp),Seasonal median minus Zero growth,-0.09033282436633883
29,Precision difference (pp),Ridge minus Size-only Ridge,3.101509543142833
29,Precision difference (pp),MLP minus Ridge,-0.7948916620107771
29,MAE difference (pp),MLP minus Zero growth,0.02196275417949911
29,MAE difference (pp),MLP minus Ridge,0.00380063804520292
29,MAE difference (pp),Seasonal median minus Zero growth,-0.1098847669327756
30,Precision difference (pp),Ridge minus Size-only Ridge,3.4347175209566565
30,Precision difference (pp),MLP minus Ridge,-1.2824370218438323
30,MAE difference (pp),MLP minus Zero growth,0.035223858186165025
30,MAE difference (pp),MLP minus Ridge,-0.014496512121789706
30,MAE difference (pp),Seasonal median minus Zero growth,-0.09122892306350927
31,Precision difference (pp),Ridge minus Size-only Ridge,2.953838036287801
31,Precision difference (pp),MLP minus Ridge,-0.35953568819309945
31,MAE difference (pp),MLP minus Zero growth,0.052685089114441475
31,MAE difference (pp),MLP minus Ridge,0.012712412461791
31,MAE difference (pp),Seasonal median minus Zero growth,-0.10280969321234679
32,Precision difference (pp),Ridge minus Size-only Ridge,4.725608414064789
32,Precision difference (pp),MLP minus Ridge,-2.7032509302628513
32,MAE difference (pp),MLP minus Zero growth,0.026987951447170033
32,MAE difference (pp),MLP minus Ridge,-0.010616916064295268
32,MAE difference (pp),Seasonal median minus Zero growth,-0.0978734729561026
33,Precision difference (pp),Ridge minus Size-only Ridge,2.7098783550398076
33,Precision difference (pp),MLP minus Ridge,-0.4041696871987521
33,MAE difference (pp),MLP minus Zero growth,0.05234877307582586
33,MAE difference (pp),MLP minus Ridge,0.006575227264868477
33,MAE difference (pp),Seasonal median minus Zero growth,-0.09928577877371225
34,Precision difference (pp),Ridge minus Size-only Ridge,4.730790362990889
34,Precision difference (pp),MLP minus Ridge,1.130079484688709
34,MAE difference (pp),MLP minus Zero growth,0.04165580582490236
34,MAE difference (pp),MLP minus Ridge,-0.016268527559165857
34,MAE difference (pp),Seasonal median minus Zero growth,-0.09903524811217856
35,Precision difference (pp),Ridge minus Size-only Ridge,1.959754099959274
35,Precision difference (pp),MLP minus Ridge,0.21515521884297173
35,MAE difference (pp),MLP minus Zero growth,0.037372495586667664
35,MAE difference (pp),MLP minus Ridge,-7.807091973299762e-05
35,MAE difference (pp),Seasonal median minus Zero growth,-0.10275176357967686
36,Precision difference (pp),Ridge minus Size-only Ridge,2.38751284443198
36,Precision difference (pp),MLP minus Ridge,0.9704312651040881
36,MAE difference (pp),MLP minus Zero growth,0.046392578960055886
36,MAE difference (pp),MLP minus Ridge,0.011163869370064639
36,MAE difference (pp),Seasonal median minus Zero growth,-0.10308225037352203
37,Precision difference (pp),Ridge minus Size-only Ridge,1.3730076894586662
37,Precision difference (pp),MLP minus Ridge,1.9130078938050687
37,MAE difference (pp),MLP minus Zero growth,0.0007989798804803883
37,MAE difference (pp),MLP minus Ridge,-0.04067900587679185
37,MAE difference (pp),Seasonal median minus Zero growth,-0.1034570331693101
38,Precision difference (pp),Ridge minus Size-only Ridge,2.2857207435645703
38,Precision difference (pp),MLP minus Ridge,1.2556340690643153
38,MAE difference (pp),MLP minus Zero growth,0.03336921402676918
38,MAE difference (pp),MLP minus Ridge,-0.03644818893768509
38,MAE difference (pp),Seasonal median minus Zero growth,-0.08583046217117518
39,Precision difference (pp),Ridge minus Size-only Ridge,3.284572826548651
39,Precision difference (pp),MLP minus Ridge,-0.15307603442883122
39,MAE difference (pp),MLP minus Zero growth,0.03375562773459917
39,MAE difference (pp),MLP minus Ridge,-0.028280282874022955
39,MAE difference (pp),Seasonal median minus Zero growth,-0.0884499924567943
40,Precision difference (pp),Ridge minus Size-only Ridge,3.722837652620728
40,Precision difference (pp),MLP minus Ridge,-1.2853280342596278
40,MAE difference (pp),MLP minus Zero growth,0.07645166877775367
40,MAE difference (pp),MLP minus Ridge,0.008290267141346064
40,MAE difference (pp),Seasonal median minus Zero growth,-0.091074973097923
41,Precision difference (pp),Ridge minus Size-only Ridge,3.134439391351182
41,Precision difference (pp),MLP minus Ridge,1.120413300122447
41,MAE difference (pp),MLP minus Zero growth,0.048924058990791774
41,MAE difference (pp),MLP minus Ridge,-0.026087411547453865
41,MAE difference (pp),Seasonal median minus Zero growth,-0.0851928319355566
42,Precision difference (pp),Ridge minus Size-only Ridge,3.617083548896588
42,Precision difference (pp),MLP minus Ridge,-1.866385374891069
42,MAE difference (pp),MLP minus Zero growth,0.04814126583103695
42,MAE difference (pp),MLP minus Ridge,0.0020180955078652474
42,MAE difference (pp),Seasonal median minus Zero growth,-0.09240718102226486
43,Precision difference (pp),Ridge minus Size-only Ridge,3.868809432522069
43,Precision difference (pp),MLP minus Ridge,-1.3901467966077692
43,MAE difference (pp),MLP minus Zero growth,0.059250649888538565
43,MAE difference (pp),MLP minus Ridge,-0.007983929647657817
43,MAE difference (pp),Seasonal median minus Zero growth,-0.09340858535506502
44,Precision difference (pp),Ridge minus Size-only Ridge,4.538999158891999
44,Precision difference (pp),MLP minus Ridge,-1.3899229522677277
44,MAE difference (pp),MLP minus Zero growth,0.06603872190014881
44,MAE difference (pp),MLP minus Ridge,0.010193606023951585
44,MAE difference (pp),Seasonal median minus Zero growth,-0.09645348582798086
45,Precision difference (pp),Ridge minus Size-only Ridge,4.86710390983407
45,Precision difference (pp),MLP minus Ridge,-2.9216270151367407
45,MAE difference (pp),MLP minus Zero growth,0.06709461541572814
45,MAE difference (pp),MLP minus Ridge,-0.007483851619518145
45,MAE difference (pp),Seasonal median minus Zero growth,-0.09038812332674784
46,Precision difference (pp),Ridge minus Size-only Ridge,2.1892049076816384
46,Precision difference (pp),MLP minus Ridge,-1.0526120953737006
46,MAE difference (pp),MLP minus Zero growth,0.03698354030812245
46,MAE difference (pp),MLP minus Ridge,0.013699438917008422
46,MAE difference (pp),Seasonal median minus Zero growth,-0.10514077108642228
47,Precision difference (pp),Ridge minus Size-only Ridge,2.5193574078771626
47,Precision difference (pp),MLP minus Ridge,-0.3150929995821311
47,MAE difference (pp),MLP minus Zero growth,0.013133817298647266
47,MAE difference (pp),MLP minus Ridge,-0.013214117834900119
47,MAE difference (pp),Seasonal median minus Zero growth,-0.09623474600701165
48,Precision difference (pp),Ridge minus Size-only Ridge,1.9577131314523433
48,Precision difference (pp),MLP minus Ridge,-1.855365057033903
48,MAE difference (pp),MLP minus Zero growth,0.02418591930790548
48,MAE difference (pp),MLP minus Ridge,-0.0203828348445092
48,MAE difference (pp),Seasonal median minus Zero growth,-0.09890594761860916
49,Precision difference (pp),Ridge minus Size-only Ridge,4.259457892541555
49,Precision difference (pp),MLP minus Ridge,-1.1131641463615338
49,MAE difference (pp),MLP minus Zero growth,0.043428202480278344
49,MAE difference (pp),MLP minus Ridge,-0.004183543532620959
49,MAE difference (pp),Seasonal median minus Zero growth,-0.10161320018400044
50,Precision difference (pp),Ridge minus Size-only Ridge,3.69286834398328
50,Precision difference (pp),MLP minus Ridge,-1.5844227046148656
50,MAE difference (pp),MLP minus Zero growth,0.0405763640220731
50,MAE difference (pp),MLP minus Ridge,-0.005467725887556174
50,MAE difference (pp),Seasonal median minus Zero growth,-0.09634506444640945
51,Precision difference (pp),Ridge minus Size-only Ridge,2.8398725933282076
51,Precision difference (pp),MLP minus Ridge,1.4865313617725584
51,MAE difference (pp),MLP minus Zero growth,0.034063677204426046
51,MAE difference (pp),MLP minus Ridge,-0.008059183109812018
51,MAE difference (pp),Seasonal median minus Zero growth,-0.11182719718810175
52,Precision difference (pp),Ridge minus Size-only Ridge,3.3996685693139432
52,Precision difference (pp),MLP minus Ridge,-0.24088400538390675
52,MAE difference (pp),MLP minus Zero growth,0.038060347090617785
52,MAE difference (pp),MLP minus Ridge,0.0010706153933139895
52,MAE difference (pp),Seasonal median minus Zero growth,-0.10566987028662034
53,Precision difference (pp),Ridge minus Size-only Ridge,3.897737860654998
53,Precision difference (pp),MLP minus Ridge,-0.978305582365252
53,MAE difference (pp),MLP minus Zero growth,0.042514025321297666
53,MAE difference (pp),MLP minus Ridge,-0.01093650923164402
53,MAE difference (pp),Seasonal median minus Zero growth,-0.10345362099618782
54,Precision difference (pp),Ridge minus Size-only Ridge,2.361099658228813
54,Precision difference (pp),MLP minus Ridge,1.764811412031364
54,MAE difference (pp),MLP minus Zero growth,-0.04283380221733735
54,MAE difference (pp),MLP minus Ridge,-0.04621537553984645
54,MAE difference (pp),Seasonal median minus Zero growth,-0.10940667154522954
55,Precision difference (pp),Ridge minus Size-only Ridge,2.560691075986976
55,Precision difference (pp),MLP minus Ridge,2.1061805265774005
55,MAE difference (pp),MLP minus Zero growth,0.04008898436262509
55,MAE difference (pp),MLP minus Ridge,0.0032612712855590864
55,MAE difference (pp),Seasonal median minus Zero growth,-0.10684485651721332
56,Precision difference (pp),Ridge minus Size-only Ridge,3.2873806818653346
56,Precision difference (pp),MLP minus Ridge,0.8276861366271426
56,MAE difference (pp),MLP minus Zero growth,-0.002169257352361953
56,MAE difference (pp),MLP minus Ridge,-0.02819669850858819
56,MAE difference (pp),Seasonal median minus Zero growth,-0.09554652718429679
57,Precision difference (pp),Ridge minus Size-only Ridge,3.044859884569023
57,Precision difference (pp),MLP minus Ridge,-0.19354950908081758
57,MAE difference (pp),MLP minus Zero growth,0.04038402503945404
57,MAE difference (pp),MLP minus Ridge,-0.008707605465887447
57,MAE difference (pp),Seasonal median minus Zero growth,-0.09326910806546485
58,Precision difference (pp),Ridge minus Size-only Ridge,3.899060822402453
58,Precision difference (pp),MLP minus Ridge,-0.07795322168555607
58,MAE difference (pp),MLP minus Zero growth,0.04554041265981823
58,MAE difference (pp),MLP minus Ridge,-0.01501518114322975
58,MAE difference (pp),Seasonal median minus Zero growth,-0.09997498810109295
59,Precision difference (pp),Ridge minus Size-only Ridge,2.5790890281699093
59,Precision difference (pp),MLP minus Ridge,1.0619061122150997
59,MAE difference (pp),MLP minus Zero growth,0.010905203165202604
59,MAE difference (pp),MLP minus Ridge,-0.03093703529580205
59,MAE difference (pp),Seasonal median minus Zero growth,-0.0970893898223002
60,Precision difference (pp),Ridge minus Size-only Ridge,3.747348307442222
60,Precision difference (pp),MLP minus Ridge,0.5298532057404604
60,MAE difference (pp),MLP minus Zero growth,0.036979050366796606
60,MAE difference (pp),MLP minus Ridge,-0.016160060358080486
60,MAE difference (pp),Seasonal median minus Zero growth,-0.09483157118719321
61,Precision difference (pp),Ridge minus Size-only Ridge,1.7631323753980994
61,Precision difference (pp),MLP minus Ridge,-0.24106530836763562
61,MAE difference (pp),MLP minus Zero growth,0.0765997260829665
61,MAE difference (pp),MLP minus Ridge,0.005861621315682353
61,MAE difference (pp),Seasonal median minus Zero growth,-0.08972903938063137
62,Precision difference (pp),Ridge minus Size-only Ridge,3.692840177591275
62,Precision difference (pp),MLP minus Ridge,0.24240310627254014
62,MAE difference (pp),MLP minus Zero growth,0.0485336902547755
62,MAE difference (pp),MLP minus Ridge,-0.02445873375764762
62,MAE difference (pp),Seasonal median minus Zero growth,-0.09725764523067815
63,Precision difference (pp),Ridge minus Size-only Ridge,3.8538285102065113
63,Precision difference (pp),MLP minus Ridge,-0.6024588984155477
63,MAE difference (pp),MLP minus Zero growth,-0.0025261606513318213
63,MAE difference (pp),MLP minus Ridge,-0.029163477468507448
63,MAE difference (pp),Seasonal median minus Zero growth,-0.10274060978608812
64,Precision difference (pp),Ridge minus Size-only Ridge,3.0085481525814584
64,Precision difference (pp),MLP minus Ridge,0.36526977995094134
64,MAE difference (pp),MLP minus Zero growth,0.034624425670124026
64,MAE difference (pp),MLP minus Ridge,-0.019917964748803918
64,MAE difference (pp),Seasonal median minus Zero growth,-0.1019072192381163
65,Precision difference (pp),Ridge minus Size-only Ridge,3.767790559930653
65,Precision difference (pp),MLP minus Ridge,-0.03649098753243374
65,MAE difference (pp),MLP minus Zero growth,0.02740251743913502
65,MAE difference (pp),MLP minus Ridge,-0.016261382340709396
65,MAE difference (pp),Seasonal median minus Zero growth,-0.09055437704091274
66,Precision difference (pp),Ridge minus Size-only Ridge,0.6549246432962647
66,Precision difference (pp),MLP minus Ridge,1.1398579903841828
66,MAE difference (pp),MLP minus Zero growth,0.03288070208012339
66,MAE difference (pp),MLP minus Ridge,-0.010742642795572799
66,MAE difference (pp),Seasonal median minus Zero growth,-0.10573555508719235
67,Precision difference (pp),Ridge minus Size-only Ridge,0.7825760087508266
67,Precision difference (pp),MLP minus Ridge,1.777094278757374
67,MAE difference (pp),MLP minus Zero growth,0.012530971261901502
67,MAE difference (pp),MLP minus Ridge,-0.03812775751947939
67,MAE difference (pp),Seasonal median minus Zero growth,-0.10336365157615379
68,Precision difference (pp),Ridge minus Size-only Ridge,1.2596068076375144
68,Precision difference (pp),MLP minus Ridge,1.812361112572819
68,MAE difference (pp),MLP minus Zero growth,0.015106383823060288
68,MAE difference (pp),MLP minus Ridge,-0.014893623051666971
68,MAE difference (pp),Seasonal median minus Zero growth,-0.10307780418830204
69,Precision difference (pp),Ridge minus Size-only Ridge,1.31122570322727
69,Precision difference (pp),MLP minus Ridge,1.2754490912220584
69,MAE difference (pp),MLP minus Zero growth,0.02119304000468203
69,MAE difference (pp),MLP minus Ridge,-0.022334257334469587
69,MAE difference (pp),Seasonal median minus Zero growth,-0.10428312016602614
70,Precision difference (pp),Ridge minus Size-only Ridge,2.667086596937096
70,Precision difference (pp),MLP minus Ridge,-0.46786986696270016
70,MAE difference (pp),MLP minus Zero growth,-0.0072374316182495235
70,MAE difference (pp),MLP minus Ridge,-0.027804813857047694
70,MAE difference (pp),Seasonal median minus Zero growth,-0.10803449626290984
71,Precision difference (pp),Ridge minus Size-only Ridge,1.2379310838131348
71,Precision difference (pp),MLP minus Ridge,1.033512571642739
71,MAE difference (pp),MLP minus Zero growth,0.035700941975930434
71,MAE difference (pp),MLP minus Ridge,-0.011871422005942378
71,MAE difference (pp),Seasonal median minus Zero growth,-0.09922961158789256
72,Precision difference (pp),Ridge minus Size-only Ridge,3.073521798914178
72,Precision difference (pp),MLP minus Ridge,-1.0781994585140342
72,MAE difference (pp),MLP minus Zero growth,0.02506534824635409
72,MAE difference (pp),MLP minus Ridge,-0.026336673638822194
72,MAE difference (pp),Seasonal median minus Zero growth,-0.09905273856832819
73,Precision difference (pp),Ridge minus Size-only Ridge,4.711785281935351
73,Precision difference (pp),MLP minus Ridge,-1.44581379392702
73,MAE difference (pp),MLP minus Zero growth,0.03991114128506723
73,MAE difference (pp),MLP minus Ridge,-0.008562440374049185
73,MAE difference (pp),Seasonal median minus Zero growth,-0.09495249144470508
74,Precision difference (pp),Ridge minus Size-only Ridge,3.3802249287851693
74,Precision difference (pp),MLP minus Ridge,0.12655087655507602
74,MAE difference (pp),MLP minus Zero growth,-0.010514124884652976
74,MAE difference (pp),MLP minus Ridge,-0.024273937826647884
74,MAE difference (pp),Seasonal median minus Zero growth,-0.11004262765369388
75,Precision difference (pp),Ridge minus Size-only Ridge,3.201667720703555
75,Precision difference (pp),MLP minus Ridge,0.5409430533870163
75,MAE difference (pp),MLP minus Zero growth,0.0068606924645022715
75,MAE difference (pp),MLP minus Ridge,-0.027187119182467523
75,MAE difference (pp),Seasonal median minus Zero growth,-0.10997316146842007
76,Precision difference (pp),Ridge minus Size-only Ridge,3.286916790156924
76,Precision difference (pp),MLP minus Ridge,-1.027013140459529
76,MAE difference (pp),MLP minus Zero growth,0.009075267116591679
76,MAE difference (pp),MLP minus Ridge,-0.018206023237411717
76,MAE difference (pp),Seasonal median minus Zero growth,-0.10818326790853439
77,Precision difference (pp),Ridge minus Size-only Ridge,2.3943088935841987
