CERT,Quarter,Model,Selected,Hit
2300,2024-03-31,Persistence,0,0
2301,2024-03-31,Persistence,1,0
2308,2024-03-31,Persistence,0,0
2315,2024-03-31,Persistence,0,0
2317,2024-03-31,Persistence,0,0
2320,2024-03-31,Persistence,0,0
2326,2024-03-31,Persistence,0,0
2327,2024-03-31,Persistence,1,0
2328,2024-03-31,Persistence,0,0
2331,2024-03-31,Persistence,0,0
2359,2024-03-31,Persistence,0,0
2379,2024-03-31,Persistence,0,0
2380,2024-03-31,Persistence,0,0
2391,2024-03-31,Persistence,0,0
2443,2024-03-31,Persistence,0,0
2444,2024-03-31,Persistence,0,0
2448,2024-03-31,Persistence,0,0
2452,2024-03-31,Persistence,0,0
2453,2024-03-31,Persistence,0,0
2455,2024-03-31,Persistence,0,0
2467,2024-03-31,Persistence,0,0
2468,2024-03-31,Persistence,1,0
2469,2024-03-31,Persistence,0,0
2477,2024-03-31,Persistence,0,0
2482,2024-03-31,Persistence,0,0
2496,2024-03-31,Persistence,0,0
2608,2024-03-31,Persistence,0,0
2616,2024-03-31,Persistence,0,0
2682,2024-03-31,Persistence,0,0
2691,2024-03-31,Persistence,0,0
2695,2024-03-31,Persistence,0,0
2700,2024-03-31,Persistence,0,0
2708,2024-03-31,Persistence,0,0
2710,2024-03-31,Persistence,0,0
2711,2024-03-31,Persistence,0,0
2718,2024-03-31,Persistence,0,0
2720,2024-03-31,Persistence,0,0
2723,2024-03-31,Persistence,0,0
2725,2024-03-31,Persistence,0,0
2733,2024-03-31,Persistence,0,0
2735,2024-03-31,Persistence,0,0
2738,2024-03-31,Persistence,0,0
2740,2024-03-31,Persistence,0,0
2750,2024-03-31,Persistence,0,0
2753,2024-03-31,Persistence,0,0
2754,2024-03-31,Persistence,0,0
2759,2024-03-31,Persistence,0,0
2765,2024-03-31,Persistence,0,0
2767,2024-03-31,Persistence,0,0
2777,2024-03-31,Persistence,0,0
2779,2024-03-31,Persistence,0,0
2784,2024-03-31,Persistence,0,0
2787,2024-03-31,Persistence,0,0
2794,2024-03-31,Persistence,0,0
2804,2024-03-31,Persistence,0,0
2805,2024-03-31,Persistence,0,0
2828,2024-03-31,Persistence,0,0
2829,2024-03-31,Persistence,0,0
2832,2024-03-31,Persistence,0,0
2838,2024-03-31,Persistence,0,0
2850,2024-03-31,Persistence,0,0
2945,2024-03-31,Persistence,1,0
2987,2024-03-31,Persistence,0,0
3017,2024-03-31,Persistence,0,0
3018,2024-03-31,Persistence,0,0
3019,2024-03-31,Persistence,0,0
3029,2024-03-31,Persistence,0,0
3031,2024-03-31,Persistence,0,0
3034,2024-03-31,Persistence,1,0
3063,2024-03-31,Persistence,0,0
3066,2024-03-31,Persistence,0,0
3067,2024-03-31,Persistence,0,0
3075,2024-03-31,Persistence,1,0
3076,2024-03-31,Persistence,0,0
3078,2024-03-31,Persistence,0,0
3079,2024-03-31,Persistence,0,0
3087,2024-03-31,Persistence,0,0
3091,2024-03-31,Persistence,0,0
3098,2024-03-31,Persistence,0,0
3099,2024-03-31,Persistence,0,0
3103,2024-03-31,Persistence,1,0
3108,2024-03-31,Persistence,0,0
3109,2024-03-31,Persistence,0,0
3110,2024-03-31,Persistence,1,0
3113,2024-03-31,Persistence,0,0
3121,2024-03-31,Persistence,0,0
3126,2024-03-31,Persistence,0,0
3127,2024-03-31,Persistence,0,0
3133,2024-03-31,Persistence,0,0
3140,2024-03-31,Persistence,0,0
3144,2024-03-31,Persistence,0,0
3149,2024-03-31,Persistence,0,0
3158,2024-03-31,Persistence,1,1
3161,2024-03-31,Persistence,0,0
3170,2024-03-31,Persistence,0,0
3178,2024-03-31,Persistence,0,0
3179,2024-03-31,Persistence,0,0
3182,2024-03-31,Persistence,0,0
3183,2024-03-31,Persistence,0,0
3184,2024-03-31,Persistence,0,0
3190,2024-03-31,Persistence,0,0
3193,2024-03-31,Persistence,0,0
3195,2024-03-31,Persistence,0,0
3197,2024-03-31,Persistence,1,0
3206,2024-03-31,Persistence,0,0
3210,2024-03-31,Persistence,0,0
3217,2024-03-31,Persistence,0,0
3218,2024-03-31,Persistence,0,0
3219,2024-03-31,Persistence,0,0
3225,2024-03-31,Persistence,0,0
3226,2024-03-31,Persistence,0,0
3228,2024-03-31,Persistence,0,0
3230,2024-03-31,Persistence,0,0
3232,2024-03-31,Persistence,0,0
