Quarter,Asset group,Field,Rows,API populated,Zero values,Date,Coverage,Zero share,Missing,Zero,Nonzero
20230630,Below USD 1bn,DEPUNINS,3704,3704,59,2023-06-30,1.0,0.015928725701943845,0,59,3645
20230930,At least USD 1bn,DEPUNA,1016,1016,74,2023-09-30,1.0,0.07283464566929133,0,74,942
20230930,At least USD 1bn,DEPUNINS,1016,1016,10,2023-09-30,1.0,0.00984251968503937,0,10,1006
20230930,Below USD 1bn,DEPUNA,3670,3670,3656,2023-09-30,1.0,0.9961852861035423,0,3656,14
20230930,Below USD 1bn,DEPUNINS,3670,3670,61,2023-09-30,1.0,0.01662125340599455,0,61,3609
20231231,At least USD 1bn,DEPUNA,1007,1007,67,2023-12-31,1.0,0.06653426017874876,0,67,940
20231231,At least USD 1bn,DEPUNINS,1007,1007,10,2023-12-31,1.0,0.009930486593843098,0,10,997
20231231,Below USD 1bn,DEPUNA,3651,3651,3639,2023-12-31,1.0,0.9967132292522597,0,3639,12
20231231,Below USD 1bn,DEPUNINS,3651,3651,61,2023-12-31,1.0,0.016707751301013422,0,61,3590
20240331,At least USD 1bn,DEPUNA,1041,1041,54,2024-03-31,1.0,0.05187319884726225,0,54,987
20240331,At least USD 1bn,DEPUNINS,1041,1041,10,2024-03-31,1.0,0.009606147934678195,0,10,1031
20240331,Below USD 1bn,DEPUNA,3599,3599,3592,2024-03-31,1.0,0.9980550152820228,0,3592,7
20240331,Below USD 1bn,DEPUNINS,3599,3599,63,2024-03-31,1.0,0.017504862461794942,0,63,3536
20240630,At least USD 1bn,DEPUNA,1040,1040,56,2024-06-30,1.0,0.05384615384615385,0,56,984
20240630,At least USD 1bn,DEPUNINS,1040,1040,10,2024-06-30,1.0,0.009615384615384616,0,10,1030
20240630,Below USD 1bn,DEPUNA,3570,3570,3562,2024-06-30,1.0,0.9977591036414566,0,3562,8
20240630,Below USD 1bn,DEPUNINS,3570,3570,62,2024-06-30,1.0,0.017366946778711485,0,62,3508
20240930,At least USD 1bn,DEPUNA,1046,1046,69,2024-09-30,1.0,0.06596558317399617,0,69,977
20240930,At least USD 1bn,DEPUNINS,1046,1046,10,2024-09-30,1.0,0.009560229445506692,0,10,1036
20240930,Below USD 1bn,DEPUNA,3543,3543,3538,2024-09-30,1.0,0.9985887665819927,0,3538,5
20240930,Below USD 1bn,DEPUNINS,3543,3543,60,2024-09-30,1.0,0.01693480101608806,0,60,3483
20241231,At least USD 1bn,DEPUNA,1034,1034,59,2024-12-31,1.0,0.05705996131528046,0,59,975
20241231,At least USD 1bn,DEPUNINS,1034,1034,10,2024-12-31,1.0,0.009671179883945842,0,10,1024
20241231,Below USD 1bn,DEPUNA,3526,3526,3516,2024-12-31,1.0,0.9971639251276234,0,3516,10
20241231,Below USD 1bn,DEPUNINS,3526,3526,64,2024-12-31,1.0,0.018150879183210438,0,64,3462
