rank,CERT,NAME,predicted_growth_fraction
389,26653,BANDERA BANK,0.004042712
390,12410,LA SALLE STATE BANK,0.0040537757
391,18474,FIRST KANSAS BANK,0.004062579
392,10672,EXCHANGE BANK,0.0040739556
393,13931,STATE BANK OF SCHALLER,0.0040986757
394,18155,BRIDGE CITY STATE BANK,0.0041273846
395,25795,PEOPLES BANK&TRUST,0.004138417
396,4209,FIRST BANK OF THOMAS,0.0042006494
397,12207,BANK OF WINONA,0.0042097257
398,17995,BANK OF GREELEY,0.00421465
399,26627,BANK OF THE WEST,0.004242787
400,9356,COMMERCIAL BANK,0.0042473953
401,5252,FIRST SECURITY BK SLEEPY EYE,0.0042779534
402,13584,TAMPA STATE BANK,0.0042815185
403,18302,POWELL STATE BANK,0.004304975
404,15501,LYTLE STB OF LYTLE TEXAS,0.0043105697
405,31249,1ST UNITED BANK,0.0043155197
406,15465,UNITED SOUTHERN BANK,0.0043321108
407,12388,WILLIAMSVILLE STATE B&T,0.0043428442
408,12425,DICKINSON COUNTY BANK,0.004350936
409,5018,CITIZENS NB OF CHEBOYGAN,0.004357089
410,15345,TXN BANK,0.0043651164
411,8268,FARMERS BANK OF LOHMAN MO,0.004375706
412,172,UNITED BANK,0.0043937266
413,13887,FARMERS&MERCHANTS BANK,0.004422463
414,20026,EASTERN NATIONAL BANK,0.0044328836
415,34507,PRINCIPAL BANK,0.004442152
416,18145,STATE BANK OF EAGLE BUTTE,0.0044556237
417,5107,FIRST SECURITY BANK CANBY,0.0044799373
418,9263,STILLMAN BANCCORP N A,0.0044931546
419,1609,FIRST STATE BANK OF WYOMING,0.004509531
420,22835,LAUDERDALE COUNTY BANK,0.004524795
421,5791,FIRST STATE BANK,0.0045310017
422,618,BANK OF MILLBROOK,0.004550237
423,16561,STATE BANK OF EASTON,0.0045940834
424,16436,CENTERA BANK,0.0046040793
425,16620,UNION BANK INC,0.0046116365
426,16177,FIRST STATE BANK,0.004619415
427,12422,SECURITY STATE BANK,0.004679497
428,15523,MUENSTER STATE BANK,0.0046819025
429,10489,ELGIN STATE BANK,0.004688038
430,15237,JOHNSON STATE BANK,0.004694512
431,18937,ST MARTIN NATIONAL BANK,0.0047025667
432,35394,MASSMUTUAL TRUST CO,0.0047044274
433,5838,FARMERS STATE BANK,0.0047120648
434,4059,PEOPLES NB OF CHECOTAH,0.0047284784
435,847,PLEASANTS COUNTY BANK,0.0047395965
436,4796,BANK OF COMMERCE&TRUST CO,0.004740421
437,15606,HAMILTON BANK,0.0047688643
438,90040,HOME LOAN STATE BANK,0.0047723395
439,15899,FUSION BANK,0.004802818
440,15898,FIRST STB OF LIVINGSTON,0.0048069344
441,3601,ATLANTA NATIONAL BANK,0.004824344
442,982,EASTERN MICHIGAN BANK,0.0048432807
443,12444,STATE BANK OF COLD SPRING,0.0048620817
444,17643,FIRST NATIONAL BANK,0.004886068
445,877,MAGNOLIA STATE BANK,0.004915844
446,11302,FIRST STATE BANK OF ST PETER,0.0049228296
447,8140,COLFAX BANKING CO,0.004926899
448,9265,RUSHVILLE STATE BANK,0.004964656
449,34752,FIRST CMTY BANK OF HILLSBORO,0.004972019
450,11557,FIRST STATE BANK OF BURNET,0.0049737482
451,8718,WYOMING BANK&TRUST,0.0049753017
452,10567,UNITED MINNESOTA BANK,0.0049763024
453,33926,CHARLEVOIX STATE BANK,0.0049779103
454,10057,BANK OF HANCOCK COUNTY,0.0049820687
